FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CONTROL POINT TYPE;;;1A;CONTROL POINT TYPE;;1362/5;2-2;M
2;POSITION OR POINT NAME;;;2A;POSITION OR POINT NAME;;1022/18;1-20;M
3;CONTROL POINT LOCATION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;CONTROL POINT LOCATION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;CONTROL POINT LOCATION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;CONTROL POINT LOCATION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;CONTROL POINT LOCATION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;CONTROL POINT LOCATION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
4;CONTROL POINT ALTITUDE;;;4A;VERTICAL DIMENSION, BASE REF POINT TO RELATIVE ALTITUDE;BRRA;2166;8-15;M
;CONTROL POINT ALTITUDE;;;4B;VERTICAL DIMENSION, BASE REF POINT TO FLIGHT LEVEL;BRFL;2167;;
;CONTROL POINT ALTITUDE;;;4C;VERTICAL DIMENSION, RELATIVE ALTITUDE TO FLIGHT LEVEL;RAFL;2168;;
;CONTROL POINT ALTITUDE;;;4D;VERTICAL DIMENSION, RELATIVE ALTITUDE TO RELATIVE ALT;RARA;2169;;
;CONTROL POINT ALTITUDE;;;4E;VERTICAL DIMENSION, FLIGHT LEVEL TO FLIGHT LEVEL;FLFL;2099;;
