FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;FREQUENCY AFFECTED;;;1A;FREQUENCY AFFECTED;;2064;3-14;M
2;DAY TIME ADVERSE CONDIITONS BEGAN;;;2A;DAY-TIME START;;2000;7-7;M
3;DAY TIME ADVERSE CONDITION SUBSIDED;;;3A;DAY-TIME STOP;;2000;7-7;M
4;AREA CENTRE;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;AREA CENTRE;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;AREA CENTRE;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;AREA CENTRE;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;AREA CENTRE;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;AREA CENTRE;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
5;RADIUS, NAUTICAL MILES;;;5A;RADIUS, NAUTICAL MILES;;2276;3-6;O
6;ADDITIONAL FREQUENCY;;;6A;ADDITIONAL FREQUENCY;;2064;3-14;O*
