FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DESIGNATION;;;1A;MINE REFERENCE NUMBER;MRN;1012/186;4-8;M
;DESIGNATION;;;1B;CONTACT PLOT DESIGNATOR;;1012/187;;
2;GEODETIC DATUM;;;2A;GEODETIC DATUM;;1195/1;3-6;O
3;POSITION OF MARKER;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-35;O
;POSITION OF MARKER;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;POSITION OF MARKER;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;POSITION OF MARKER;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;POSITION OF MARKER;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;POSITION OF MARKER;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;POSITION OF MARKER;;;3G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
;POSITION OF MARKER;;;3H;PLACE NAME;NAME;1022/170;;
;POSITION OF MARKER;;;3I;TRUE BEARING AND DISTANCE FROM REF POINT;TBR;2047;;
;POSITION OF MARKER;;;3J;Q-ROUTE POSITION;QPOS;2203;;
4;BEARING/DISTANCE IN NM OF MINE CONTACT RELATIVE TO MARKER;;;4A;BEARING/DISTANCE IN NM OF MINE CONTACT RELATIVE TO MARKER;;2307;10-27;O
5;DAY-TIME OF POSITION;;;5A;DAY-TIME OF POSITION;;2000;7-7;O
