FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;TYPE OF CONTACT;;;1A;TYPE OF CONTACT;;1351/1;6-7;M
2;CONTACT LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;CONTACT LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;CONTACT LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;CONTACT LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;CONTACT LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;CONTACT LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;CONTACT LOCATION;;;2G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
;CONTACT LOCATION;;;2H;ICAO LOCATION INDICATOR;ICAO;1125/1;;
;CONTACT LOCATION;;;2I;LOCATION OR POSITION NAME;LOC;1022/6;;
3;NAME/RANK OF CONTACT;;;3A;NAME RANK OF CONTACT;;1022/72;1-20;M
4;UNIT IDENTIFICATION WITH OFFICE SYMBOL;;;4A;UNIT IDENTIFICATION WITH OFFICE SYMBOL;;1028/31;1-20;M
5;TELEPHONE NUMBER;;;5A;TELEPHONE NUMBER;;1361/2;1-23;M*
