FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;AIRCRAFT CONTROL AGENCY;;;1A;TYPE OF AIRCRAFT CONTROL AGENCY;;1395/5;3-6;M
2;CONTACT CALL SIGN OR NAME;;;2A;CONTACT CALL SIGN;CALL;1129/31;1-20;M
;CONTACT CALL SIGN OR NAME;;;2B;CONTACT NAME;NAME;1022/7;;
3;MISSION NUMBER;;;3A;MISSION NUMBER;;1012/69;1-8;O
4;TACAN CHANNEL NUMBER;;;4A;TACAN CHANNEL WITH MODES;;2103;2-4;O
5;DAY-TIME AVAILABLE FROM;;;5A;DAY-TIME AVAILABLE FROM;;2000;7-7;O
6;DAY-TIME AVAILABLE TO;;;6A;DAY-TIME AVAILABLE TO;;2000;7-7;C
7;PRIMARY COMMUNICATION PARAMETERS;;;7A;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;1068/13;1-49;M
;PRIMARY COMMUNICATION PARAMETERS;;;7B;PRIMARY FREQUENCY DESIGNATOR;PDESIG;1396/2;;
;PRIMARY COMMUNICATION PARAMETERS;;;7C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;PHVQKM;2534;;
;PRIMARY COMMUNICATION PARAMETERS;;;7D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;PHVQK;2535;;
8;SECONDARY COMMUNICATION PARAMETERS;;;8A;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;1068/14;1-49;O
;SECONDARY COMMUNICATION PARAMETERS;;;8B;SECONDARY FREQUENCY DESIGNATOR;SDESIG;1396/3;;
;SECONDARY COMMUNICATION PARAMETERS;;;8C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;SHVQKM;2534;;
;SECONDARY COMMUNICATION PARAMETERS;;;8D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;SHVQK;2535;;
9;LINK 16 CALL SIGN;;;9A;LINK 16 ABBREVIATED CALL SIGN;;1129/41;1-4;O
10;CONTACT NAME OR LOCATION;;;10A;LOCATION NAME;LOC;1022/4;1-22;O
;CONTACT NAME OR LOCATION;;;10B;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;;
;CONTACT NAME OR LOCATION;;;10C;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
11;CONTACT ALTITUDE;;;11A;ALTITUDE, HUNDREDS OF FEET;;1255/14;3-3;C
12;CONTACT INSTRUCTIONS;;;12A;CONTACT INSTRUCTIONS;;1822/4;1-68;O
