FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;SYSTEM SETTINGS;;;1A;SYSTEM SETTINGS;;1593/15;3-12;M
2;WINDOW SIZE MULTIPLIER;;;2A;WINDOW SIZE MULTIPLIER;;1593/17;3-3;C
3;MINIMUM WINDOW SIZE IN DATA MILES;;;3A;MINIMUM WINDOW SIZE IN DATA MILES;;1593/18;3-4;C
4;MINIMUM TRACK QUALITY;;;4A;MINIMUM TRACK QUALITY;;1593/19;1-1;C
5;MAXIMUM TRACK QUALITY;;;5A;MAXIMUM TRACK QUALITY;;1593/20;1-2;C
6;RESTRICTED TRACK QUALITY;;;6A;RESTRICTED TRACK QUALITY;;1593/21;1-1;C
7;COURSE DIFFERENTIAL IN DEGREES;;;7A;COURSE DIFFERENTIAL IN DEGREES;;1593/22;2-2;C
8;SPEED DIFFERENTIAL;;;8A;SPEED DIFFERENTIAL;;1593/23;2-3;C
9;ALTITUDE DIFFERENTIAL IN HUNDREDS OF FEET;;;9A;ALTITUDE DIFFERENTIAL IN HUNDREDS OF FEET;;1593/24;2-3;C
10;MINIMUM GEODETIC POSITION QUALITY;;;10A;MINIMUM GEODETIC POSITION QUALITY;;1593/25;1-1;C
11;MAXIMUM GEODETIC POSITION QUALITY;;;11A;MAXIMUM GEODETIC POSITION QUALITY;;1593/26;1-2;C
12;DECORRELATION WINDOW MULTIPLIER;;;12A;DECORRELATION WINDOW MULTIPLIER;;1593/27;3-3;C
13;CONSECUTIVE DECORRELATIONS;;;13A;CONSECUTIVE DECORRELATIONS;;1593/28;1-1;C
