FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;TARGET AREA;;;1A;TARGET AREA DESCRIPTION;;1363/6;1-20;M
2;DARB PRIORITY;;;2A;PREPLANNED PRIORITY;;1076/1;1-1;M
3;COMPOUND COMMAND PRIORITY;;;3A;COMPOUND COMMAND PRIORITY;;1076/17;2-2;M
4;RECONNAISSANCE CATEGORY;;;4A;TARGET CATEGORY CODE;CAT;1309/2;1-6;M
;RECONNAISSANCE CATEGORY;;;4B;TARGET CATEGORY PURPOSE;PUR;1435/2;;
;RECONNAISSANCE CATEGORY;;;4C;ESSENTIAL ELEMENTS OF INFORMATION (EEI) OF TARGET CATEGORY;EEI;1802/1;;
5;TARGET IDENTIFICATION (BE NUMBER OR TIN);;;5A;BASIC ENCYCLOPEDIA NUMBER;BEN;2002;10-18;M
;TARGET IDENTIFICATION (BE NUMBER OR TIN);;;5B;TARGET IDENTIFIER BE NUMBER WITH SUFFIX;BENS;2122;;
;TARGET IDENTIFICATION (BE NUMBER OR TIN);;;5C;TARGET ENTITY ID REFERENCE NUMBER;EIRN;2085;;
6;RECONNAISSANCE MISSION TYPE;;;6A;RECONNAISSANCE MISSION TYPE IDENTIFIER;;1285/26;2-5;M
7;START AND END TIME OVER TARGET;;;7A;START AND END TIME OVER TARGET;;2117;29-29;O
8;TYPE OF INTELLIGENCE TASK;;;8A;TYPE OF INTELLIGENCE TASK;;1285/28;3-3;O
9;LATEST TIME OF REPORT;;;9A;DTG OF REPORT, ZULU;;2323;14-14;O
10;REMARKS;;;10A;REMARKS;;1357/28;1-68;O
11;REFERENCE;;;11A;REFERENCE;;1490/1;1-15;O
