FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT IDENTIFIER;;;1A;UNIT DESIGNATOR;UNIT;1028/43;1-24;M
;UNIT IDENTIFIER;;;1B;UNIT IDENTIFICATION CODE (UIC2);UIC2;2243;;
;UNIT IDENTIFIER;;;1C;UNIT IDENTIFICATION CODE (UIC3);UIC3;2241;;
2;UNIT LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;UNIT LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;UNIT LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;UNIT LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;UNIT LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;UNIT LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;UNIT LOCATION;;;2G;ICAO BASE CODE;ICAO;1125/2;;
;UNIT LOCATION;;;2H;POSITION OR POINT NAME;NAME;1022/18;;
3;NUMBER OF AIRCRAFT CONTROL POSITIONS;;;3A;NUMBER OF AIRCRAFT CONTROL POSITIONS;;1044/366;1-2;O
4;NUMBER OF AEW CONTROL POSITIONS;;;4A;NUMBER OF AEW CONTROL POSITIONS;;1044/367;1-2;O
5;NUMBER OF SAW CONTROL POSITIONS;;;5A;NUMBER OF SAW CONTROL POSITIONS;;1044/368;1-2;O
6;NUMBER OF NAVAL CONTROL POSITIONS;;;6A;NUMBER OF NAVAL CONTROL POSITIONS;;1044/369;1-2;O
7;NUMBER OF AIRCRAFT CONTROL AND COORDINATION POSITIONS;;;7A;NUMBER OF AIRCRAFT CONTROL AND COORDINATION POSITIONS;;1044/371;1-2;O
8;NUMBER OF ATC CONTROL POSITIONS;;;8A;NUMBER OF ATC CONTROL POSITIONS;;1044/385;1-2;O
9;NUMBER OF SENSOR CONTROL POSITIONS;;;9A;NUMBER OF SENSOR CONTROL POSITIONS;;1044/386;1-2;O
