FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CALL SIGN OTC;;;1A;CONVOY COMMODORE CALL SIGN;;1129/22;1-28;M
;CALL SIGN OTC;;;1B;OTC CALL SIGN;OTC;1129/24;;
;CALL SIGN OTC;;;1C;NAVAL FORCE CALL SIGN;FORCE;1129/20;;
2;SHIP NAME OTC;;;2A;COMMODORES SHIP NAME;;1022/52;1-38;M
;SHIP NAME OTC;;;2B;OTC SHIP NAME;OTC;1022/77;;
3;CALL SIGN AOTC;;;3A;CONVOY VICE COMMODORE CALL SIGN;;1129/23;1-28;O
;CALL SIGN AOTC;;;3B;ALTERNATE OTC CALL SIGN;AOTC;1129/25;;
4;SHIP NAME AOTC;;;4A;VICE COMMODORES SHIP NAME;;1022/78;1-38;O
;SHIP NAME AOTC;;;4B;ALTERNATE OTC SHIP NAME;AOTC;1022/79;;
5;RADIO FREQUENCY;;;5A;RADIO FREQUENCY;;2064;3-14;O*
