FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;GEOGRAPHICAL ENTITY;;;1A;GEOGRAPHICAL ENTITY;;1026/1;2-2;M
2;NAME, INDIVIDUAL;;;2A;NAME, INDIVIDUAL;;1022/13;1-50;M
3;PERSONNEL GENDER;;;3A;PERSONNEL GENDER;;1286/2;4-6;M
4;PERSONAL IDENTIFICATION NUMBER;;;4A;PERSONAL IDENTIFICATION NUMBER;;1012/230;1-20;M
5;DISPOSITION OF PERSONAL EFFECTS;;;5A;DISPOSITION OF PERSONAL EFFECTS;;1011/1;5-9;M
6;MILITARY RANK OR RATE AND RATING;;;6A;MILITARY RANK OR RATE AND RATING;;1483/1;3-5;O
7;RELIGION;;;7A;RELIGION;;1016/1;4-31;O
8;UNIT;;;8A;UNIT;;1022/57;1-30;O
9;DATE OF BIRTH, DDMMYYYY;;;9A;DATE OF BIRTH, DDMMYYYY;;2052;8-8;O
10;DATE OF DEATH;;;10A;DATE OF DEATH, DDMMYYYY;;2052;8-8;O
;DATE OF DEATH;;;10B;ESTIMATED DATE OF DEATH, DDMMYYYY;ESTD;2052;;
11;CAUSE OF DEATH;;;11A;CAUSE OF DEATH;;1557/1;4-15;O
