FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;SERIAL NUMBER;;;1A;SERIAL NUMBER;;1012/130;3-3;M
2;UNIT NAME;;;2A;UNIT NAME;;1022/48;1-38;M
3;ARRIVAL LOCATION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-38;M
;ARRIVAL LOCATION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;ARRIVAL LOCATION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;ARRIVAL LOCATION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;ARRIVAL LOCATION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;ARRIVAL LOCATION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;ARRIVAL LOCATION;;;3G;ARRIVAL PLACE NAME;APN;1022/41;;
4;ESTIMATED DAY-TIME AND MONTH OF ARRIVAL;;;4A;ESTIMATED DAY-TIME AND MONTH OF ARRIVAL;;2030;10-10;M
5;DAY-TIME AND MONTH OF ARRIVAL;;;5A;DAY-TIME AND MONTH OF ARRIVAL;;2030;10-10;M
6;REASON FOR DELAY;;;6A;REASON FOR DELAY;;1318/2;3-8;O
7;MODE OF TRANSPORTATION;;;7A;MODE OF TRANSPORTATION;;1269/1;2-4;M
