FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;SERIAL NUMBER;;;1A;SERIAL NUMBER;;1012/130;3-3;M
2;UNIT NAME;;;2A;UNIT NAME;;1022/48;1-38;M
3;PEACETIME LOCATION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-38;M
;PEACETIME LOCATION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;PEACETIME LOCATION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;PEACETIME LOCATION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;PEACETIME LOCATION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;PEACETIME LOCATION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;PEACETIME LOCATION;;;3G;SITE NAME OF PEACETIME LOCATION;LOC;1022/220;;
4;DEPARTURE LOCATION;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-38;O
;DEPARTURE LOCATION;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;DEPARTURE LOCATION;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;DEPARTURE LOCATION;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;DEPARTURE LOCATION;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;DEPARTURE LOCATION;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;DEPARTURE LOCATION;;;4G;DEPARTURE PLACE NAME;NAME;1022/42;;
5;ESTIMATED DAY-TIME AND MONTH OF DEPARTURE;;;5A;ESTIMATED DAY-TIME AND MONTH OF DEPARTURE;;2030;10-10;M
6;DAY-TIME AND MONTH OF DEPARTURE;;;6A;DAY-TIME AND MONTH OF DEPARTURE;;2030;10-10;M
7;REASON FOR DELAY;;;7A;REASON FOR DELAY;;1318/2;3-8;O
8;MODE OF TRANSPORTATION;;;8A;MODE OF TRANSPORTATION;;1269/1;2-4;M
9;ESTIMATED DAY-TIME AND MONTH OF ARRIVAL;;;9A;ESTIMATED DAY-TIME AND MONTH OF ARRIVAL;;2030;10-10;M
10;DEPLOYMENT ARRIVAL LOCATION;;;10A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-38;M
;DEPLOYMENT ARRIVAL LOCATION;;;10B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;DEPLOYMENT ARRIVAL LOCATION;;;10C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;DEPLOYMENT ARRIVAL LOCATION;;;10D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;DEPLOYMENT ARRIVAL LOCATION;;;10E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;DEPLOYMENT ARRIVAL LOCATION;;;10F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;DEPLOYMENT ARRIVAL LOCATION;;;10G;ARRIVAL PLACE NAME;NAME;1022/41;;
