FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;FORCE IDENTIFICATION OR SPECIFICATION;;;1A;NATO FORCE CONTACT DESIGNATOR;;2145;3-8;M
;FORCE IDENTIFICATION OR SPECIFICATION;;;1B;NATO EXERCISE FORCE CONTACT DESIGNATOR;;2146;;
;FORCE IDENTIFICATION OR SPECIFICATION;;;1C;TYPE AND NUMBER OF SHIPS;;2078;;
;FORCE IDENTIFICATION OR SPECIFICATION;;;1D;EXERCISE TYPE AND NUMBER OF SHIPS;XTYPN;2070;;
;FORCE IDENTIFICATION OR SPECIFICATION;;;1E;NATO UNDESIGNATED UNIT;;1028/25;;
2;POSITION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;POSITION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;POSITION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;POSITION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;POSITION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;POSITION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;POSITION;;;2G;PLACE NAME;NAME;1022/170;;
3;TIME OF CONTACT;;;3A;DAY-TIME OF CONTACT;;2000;5-7;M
;TIME OF CONTACT;;;3B;DAY-MONTH NAME;;2067;;
4;CONTACT MOVEMENT;;;4A;COURSE IN DEGREES TRUE AND SPEED IN KNOTS;;2025;2-6;M
;CONTACT MOVEMENT;;;4B;MOVEMENT ACTIVITY;;1095/4;;
5;CONTACT VALIDITY;;;5A;CONTACT VALIDITY;;2049;2-2;O
