FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;PLATFORM TYPE;;;1A;VESSEL TYPE;SHIP;1166/1;1-30;M
;PLATFORM TYPE;;;1B;DIVING PLATFORM TYPE;PLATFORM;1426/3;;
2;PLATFORM NAME;;;2A;PLATFORM NAME;;1022/149;1-38;M
3;NATIONALITY;;;3A;NATIONALITY;;1026/2;2-2;M
4;INTERNATIONAL RADIO CALL SIGN;;;4A;INTERNATIONAL RADIO CALL SIGN;;1129/3;4-8;O
5;SHIP LENGTH;;;5A;SHIP LENGTH, FEET OR METRES;;2266;2-7;O
6;SHIP BEAM;;;6A;SHIP BEAM, FEET OR METRES;;2352;2-6;O
7;SHIP DRAFT;;;7A;SHIP DRAFT, FEET OR METRES;;2357;2-6;O
8;SHIP DISPLACEMENT;;;8A;SHIP DISPLACEMENT;;1440/2;1-6;O
9;MINIMUM SPEED;;;9A;MINIMUM SPEED IN KNOTS;;1061/5;1-2;O
10;MAXIMUM SPEED;;;10A;MAXIMUM SPEED IN KNOTS;;1061/6;1-2;O
