FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DATA LINK REFERENCE POINT TYPE;;;1A;DATA LINK REFERENCE POINT TYPE;;1362/6;4-7;M
2;POINT IDENTIFIER;;;2A;POINT IDENTIFIER;;1012/156;2-17;M
3;LOCATION OF THE POINT OF REFERENCE;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-54;M
;LOCATION OF THE POINT OF REFERENCE;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LOCATION OF THE POINT OF REFERENCE;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LOCATION OF THE POINT OF REFERENCE;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LOCATION OF THE POINT OF REFERENCE;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LOCATION OF THE POINT OF REFERENCE;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;LOCATION OF THE POINT OF REFERENCE;;;3G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
;LOCATION OF THE POINT OF REFERENCE;;;3H;BEARING AND DISTANCE FROM REFERENCE POINT;BAR;2157;;
;LOCATION OF THE POINT OF REFERENCE;;;3I;PLACE NAME;NAME;1022/170;;
4;EFFECTIVE DTG;;;4A;EFFECTIVE DTG;;2033;14-14;O
