FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DATA ENTRY;;;1A;DATA ENTRY;;1348/1;2-2;M
2;DROP ZONE INDICATOR;;;2A;DROP ZONE INDICATOR;;1246/2;1-1;M
3;RUN-IN HEADING, DEGREES MAGNETIC;;;3A;RUN-IN HEADING, DEGREES MAGNETIC;;2186;4-4;M
4;LENGTH OF DROP ZONE IN METRES OR FEET;;;4A;LENGTH OF DROP ZONE IN METRES OR FEET;LNGTH;2189;2-6;M
5;WIDTH OF DROP ZONE IN METRES OR FEET;;;5A;WIDTH OF DROP ZONE IN METRES OR FEET;WIDTH;2189;2-6;M
6;POINT OF IMPACT;;;6A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;POINT OF IMPACT;;;6B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;POINT OF IMPACT;;;6C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;POINT OF IMPACT;;;6D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;POINT OF IMPACT;;;6E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;POINT OF IMPACT;;;6F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;POINT OF IMPACT;;;6G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
7;DROP ZONE CALL SIGN;;;7A;DROP ZONE CALL SIGN;;1129/2;1-20;M
8;UNIT IDENTIFICATION;;;8A;ACE UIC;ACE;2141;1-20;M
;UNIT IDENTIFICATION;;;8B;UNIT IDENTIFIER;;1028/1;;
9;COMMUNICATIONS;;;9A;COMMUNICATIONS CODE;;1149/1;1-14;M*
;COMMUNICATIONS;;;9B;PRIMARY FREQUENCY;PRI;2064;;
;COMMUNICATIONS;;;9C;SECONDARY FREQUENCY;SEC;2064;;
;COMMUNICATIONS;;;9D;TERTIARY FREQUENCY;TER;2064;;
