FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;NATO SUBMARINE DEPLOYMENT DESIGNATOR;;;1A;NATO SUBMARINE DEPLOYMENT DESIGNATOR;;1214/1;3-9;M
;NATO SUBMARINE DEPLOYMENT DESIGNATOR;;;1B;NATO SUBMARINE DEPLOYMENT DESIGNATOR AND 4-DIGIT YEAR;;2040;;
;NATO SUBMARINE DEPLOYMENT DESIGNATOR;;;1C;NATO EXERCISE SUBMARINE DEPLOYMENT DESIGNATOR;;2081;;
;NATO SUBMARINE DEPLOYMENT DESIGNATOR;;;1D;NATO EXERCISE SUB DEPLOYMENT DESIGNATOR AND 4-DIGIT YEAR;;2035;;
2;SUBMARINE TYPE;;;2A;SUBMARINE TYPE;;1166/2;2-4;M
3;NATIONALITY;;;3A;GEOGRAPHICAL ENTITY;;1026/1;2-2;M
4;SUBMARINE CLASSIFICATION/CONFIDENCE LEVEL;;;4A;SUBMARINE CLASSIFICATION CONFIDENCE LEVEL;;1123/5;4-5;M
5;SUBMARINE CLASS IDENTIFIER;;;5A;SUBMARINE CLASS NAME;CLASS;1038/1;1-10;M
;SUBMARINE CLASS IDENTIFIER;;;5B;SUBMARINE CLASS DESIGNATOR;SCD;1338/1;;
;SUBMARINE CLASS IDENTIFIER;;;5C;SUBMARINE PROPULSION TYPE;PROPUL;1339/1;;
;SUBMARINE CLASS IDENTIFIER;;;5D;UNKNOWN SUBMARINE CONTACT;;1139/3;;
6;LOCATION;;;6A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;LOCATION;;;6B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LOCATION;;;6C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LOCATION;;;6D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LOCATION;;;6E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LOCATION;;;6F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;LOCATION;;;6G;PLACE NAME;NAME;1022/170;;
7;TIME OF CONTACT;;;7A;DAY-TIME OF CONTACT;;2000;5-14;O
;TIME OF CONTACT;;;7B;DAY-MONTH NAME;;2067;;
;TIME OF CONTACT;;;7C;DTG;;2033;;
8;CONTACT MOVEMENT;;;8A;COURSE IN DEGREES TRUE AND SPEED IN KNOTS;;2025;2-6;O
;CONTACT MOVEMENT;;;8B;MOVEMENT ACTIVITY;;1095/4;;
9;CONTACT VALIDITY;;;9A;CONTACT VALIDITY;;2049;2-2;O
10;CORRELATION;;;10A;NATO SUBMARINE CONTACT DESIGNATOR;;2152;3-9;O
;CORRELATION;;;10B;NATO SUBMARINE DEPLOYMENT DESIGNATOR;;1214/1;;
;CORRELATION;;;10C;NATO SUBMARINE DEPLOYMENT DESIGNATOR AND 4-DIGIT YEAR;;2040;;
;CORRELATION;;;10D;NATO EXERCISE SUBMARINE CONTACT DESIGNATOR;;2153;;
;CORRELATION;;;10E;NATO EXERCISE SUBMARINE DEPLOYMENT DESIGNATOR;;2081;;
;CORRELATION;;;10F;NATO EXERCISE SUB DEPLOYMENT DESIGNATOR AND 4-DIGIT YEAR;;2035;;
