FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT OR ORGANIZATION;;;1A;UNIT DESIGNATOR;UNIT;1028/43;1-38;M
;UNIT OR ORGANIZATION;;;1B;UNIT IDENTIFICATION CODE (UIC);UIC;2141;;
;UNIT OR ORGANIZATION;;;1C;SHIP NAME;SHIP;1022/49;;
;UNIT OR ORGANIZATION;;;1D;NAVAL ORGANIZATION DESIGNATOR;NAVORG;2143;;
;UNIT OR ORGANIZATION;;;1E;INTERFACE UNIT DESIGNATOR;IUD;2367;;
2;TACTICAL DUTIES;;;2A;AIR COMMAND AND CONTROL DUTY ASSIGNED;CCDASN;1109/4;1-40;M*
;TACTICAL DUTIES;;;2B;DUTY;DUTY;1109/1;;
;TACTICAL DUTIES;;;2C;LINK DUTY;LNK;1109/2;;
;TACTICAL DUTIES;;;2D;MULTILINK COORDINATION DUTY;MLNK;1109/3;;
;TACTICAL DUTIES;;;2E;DUTY, OTHER;OTH;1109/5;;
