FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;REPORTING AIRCRAFT LOCATION;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;12-22;M
2;DTG OF ELECTRONIC INTERCEPT;;;2A;DTG OF ELECTRONIC INTERCEPT;;2033;14-14;M
3;AIRCRAFT ALTITUDE;;;3A;AIRCRAFT ALTITUDE IN HUNDREDS OF FEET;;1255/21;3-3;M
4;REPORTING AIRCRAFT HEADING;;;4A;REPORTING AIRCRAFT HEADING IN DEGREES;;2065;4-4;M
5;REPORTING AIRCRAFT SPEED;;;5A;AIRCRAFT AIRSPEED IN KPH, KTS, MPH;;2461;4-6;M
6;RADAR WARNING RECEIVER INDICATION;;;6A;RADAR WARNING RECEIVER INDICATIONS RECEIVED INDICATOR;;1027/89;2-3;M
7;DURATION OF SIGNAL;;;7A;DURATION OF SIGNAL, HOURS, MINUTES, SECONDS;;2521;3-6;M
8;BEARING OF SIGNAL;;;8A;BEARING OF SIGNAL FROM INTERCEPTING AIRCRAFT, DEGREES TRUE;BEARING;2253;4-4;O
;BEARING OF SIGNAL;;;8B;BEARING OF SIGNAL FROM BULLSEYE, DEGREES TRUE;BULL;2253;;
9;INTERCEPT SERIAL NUMBER;;;9A;INTERCEPT SERIAL NUMBER;;1012/25;3-3;O
10;SIGNAL INTERCEPT DISTANCE FROM AIRCRAFT;;;10A;SIGNAL INTERCEPT DISTANCE IN NAUTICAL MILES;;1089/16;1-3;O
11;SIGNAL POSITION;;;11A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;12-22;O
12;EMITTER NAME;;;12A;EMITTER NAME;;1022/225;1-10;O
13;ELINT NOTATION;;;13A;ELINT NOTATION;;1012/34;5-5;O
14;EMITTER DESIGNATION;;;14A;EMITTER DESIGNATION;;1121/1;1-24;O
15;DESCRIPTION OF TONE RECEIVED;;;15A;DESCRIPTION OF TONE RECEIVED;;1363/26;1-30;O
16;PULSE REPETITION INTERVAL ACTIVITY CODE;;;16A;PULSE REPETITION INTERVAL ACTIVITY CODE;PRI;1471/6;1-5;O
;PULSE REPETITION INTERVAL ACTIVITY CODE;;;16B;PULSE REPETITION FREQUENCY VARIATION;PRF;1471/7;;
17;PRIMARY FREQUENCY IN MEGAHERTZ;;;17A;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;;1068/13;1-16;O
18;EMITTER EVALUATION;;;18A;EMITTER EVALUATION;;1121/2;1-15;O
19;ELECTRONIC PROTECTION CONFIDENCE LEVEL;;;19A;ELECTRONIC PROTECTION CONFIDENCE LEVEL;CONF;1123/12;1-4;O
;ELECTRONIC PROTECTION CONFIDENCE LEVEL;;;19B;ELECTRONIC PROTECTION CREDIBILITY;CRED;1123/13;;
