FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;AIRCRAFT LOCATION;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;12-22;M
2;AIRCRAFT ALTITUDE;;;2A;REPORTING AIRCRAFT ALTITUDE IN HUNDREDS OF FEET;;1255/18;3-3;M
3;AIRCRAFT HEADING;;;3A;REPORTING AIRCRAFT HEADING IN DEGREES;;2065;4-4;M
4;TARGET POSITION;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;12-22;O
5;TARGET HEADING;;;5A;MOBILE TARGET HEADING IN DEGREES;;2065;4-4;M
6;JAM ON DTG;;;6A;JAM ON DTG;ON;2033;14-14;M
7;JAM OFF DTG;;;7A;JAM OFF DTG;OFF;2033;14-14;M
8;DESCRIPTION OF SIGNALS JAMMED;;;8A;DESCRIPTION OF SIGNALS JAMMED;;1363/27;1-30;O
9;FREQENCY BAND;;;9A;ALPHABETIC IDENTIFIER, FREQENCY BAND;;1264/2;1-1;O
10;FREQUENCY JAMMED DESIGNATOR;;;10A;FREQUENCY JAMMED DESIGNATOR;;1396/5;1-8;O
11;JAMMING TECHNIQUE;;;11A;JAMMING TECHNIQUE;;1643/5;4-9;O
12;ELECTRONIC ATTACK CONFIDENCE LEVEL;;;12A;ELECTRONIC ATTACK CONFIDENCE LEVEL;;1123/11;1-4;O
