FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;GEOGRAPHIC ELEVATION;;;1A;ELEVATION;ELEV;1720/2;5-5;M
2;ELEVATION MEASUREMENT ACCURACY;;;2A;ELEVATION MEASUREMENT ACCURACY;ELACC;1811/2;1-4;M
3;UNIT OF LINEAR MEASUREMENT, GEOGRAPHIC;;;3A;UNIT OF LINEAR MEASUREMENT;;1008/4;1-2;M
4;ELEVATION CONFIDENCE LEVEL;;;4A;ELEVATION CONFIDENCE LEVEL;ELEVCONF;1123/8;2-2;M
5;MAP DATUM;;;5A;MAP DATUM;;1195/3;3-3;M
6;METHOD OF ELEVATION DERIVATION;;;6A;METHOD OF ELEVATION DERIVATION;;1866/2;1-2;M
7;ELEVATION DERIVATION ACCURACY;;;7A;ELEVATION DERIVATION ACCURACY;ELDERACC;1811/5;1-4;M
8;UNIT OF LINEAR MEASUREMENT, DERIVATION ACCURACY;;;8A;UNIT OF LINEAR MEASUREMENT;;1008/4;1-2;M
9;ELEVATION, MSL;;;9A;ELEVATION, MSL;ELEVMSL;1720/1;5-5;M
10;ELEVATION MEASUREMENT MSL ACCURACY;;;10A;ELEVATION MEASUREMENT MSL ACCURACY;MSLACC;1811/3;1-4;M
11;UNIT OF LINEAR MEASUREMENT, MSL;;;11A;UNIT OF LINEAR MEASUREMENT;;1008/4;1-2;M
12;ELEVATION MSL CONFIDENCE LEVEL;;;12A;ELEVATION MSL CONFIDENCE LEVEL;MSLCONF;1123/9;2-2;M
13;METHOD ELEVATION MSL DERIVATION;;;13A;METHOD ELEVATION MSL DERIVATION;;1866/3;1-2;M
14;ELEVATION MSL DERIVATION ACCURACY;;;14A;ELEVATION MSL DERIVATION ACCURACY;MSLDERAC;1811/6;1-4;M
15;UNIT OF LINEAR MEASUREMENT, MSL DERIVATION ACCURACY;;;15A;UNIT OF LINEAR MEASUREMENT;;1008/4;1-2;M
16;GEOIDAL MSL SEPARATION;;;16A;GEOIDAL MSL SEPARATION;GEMSLSEP;1808/1;1-5;M
17;UNIT OF LINEAR MEASUREMENT, GEOIDAL;;;17A;UNIT OF LINEAR MEASUREMENT;;1008/4;1-2;M
18;REMARKS;;;18A;REMARKS;;1357/28;1-68;O
