FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;AREA NAME;;;1A;AREA NAME;;1022/69;1-38;M
2;LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-54;M
;LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;LOCATION;;;2G;PLACE NAME, EXTENDED;NAME;1022/261;;
;LOCATION;;;2H;POSITION, TRUE BEARING AND RANGE IN NM;BRGR;2281;;
;LOCATION;;;2I;UNIT;UNIT;1022/57;;
;LOCATION;;;2J;Q-ROUTE POSITION;QPOS;2203;;
3;SEMI-MAJOR AXIS ORIENTATION, DEGREES TRUE;;;3A;SEMI-MAJOR AXIS ORIENTATION, DEGREES TRUE;;2256;4-4;M
4;SEMI-MAJOR AXIS LENGTH, NAUTICAL MILES;;;4A;SEMI-MAJOR AXIS LENGTH, NAUTICAL MILES;;2280;3-6;M
5;SEMI-MINOR AXIS LENGTH, NAUTICAL MILES;;;5A;SEMI-MINOR AXIS LENGTH, NAUTICAL MILES;;2280;3-6;M
