FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT;;;1A;UNIT;;1022/57;1-30;M
2;MISSION NUMBER;;;2A;MISSION NUMBER;;1012/69;1-8;M
3;CALL SIGN;;;3A;CALL SIGN;;1129/1;1-38;M
4;RADIO FREQUENCY;;;4A;RADIO FREQUENCY;;2064;3-14;M
5;ON STATION TIME;;;5A;DTG ON STATION;;2033;14-14;M
6;OFF STATION TIME;;;6A;DTG OFF STATION;;2033;14-14;M
7;RENDEZVOUS DTG;;;7A;RENDEZVOUS DTG;;2033;14-14;O
8;LOCATION OF RENDEZVOUS;;;8A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-24;C
;LOCATION OF RENDEZVOUS;;;8B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LOCATION OF RENDEZVOUS;;;8C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LOCATION OF RENDEZVOUS;;;8D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LOCATION OF RENDEZVOUS;;;8E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LOCATION OF RENDEZVOUS;;;8F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;LOCATION OF RENDEZVOUS;;;8G;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES VERIFIED;SUB;2577;;
