FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ACTIVITY TYPE;;;1A;ACTIVITY TYPE;;1299/1;1-8;M
2;ACTIVITY LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-48;M
;ACTIVITY LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;ACTIVITY LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;ACTIVITY LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;ACTIVITY LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;ACTIVITY LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;ACTIVITY LOCATION;;;2G;TRUE BEARING AND DISTANCE IN NM FROM REFERENCE POINT;TBRN;2016;;
;ACTIVITY LOCATION;;;2H;ACTIVITY LOCATION NAME;NAME;1022/103;;
3;DAY-TIME OF ACTIVITY;;;3A;DAY-TIME OF ACTIVITY;TIME;2000;7-7;O
4;VERIFIED ENEMY UNIT IDENTIFIER;;;4A;VERIFIED ENEMY UNIT IDENTIFIER;ENUNIT;2102;2-19;O
