FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;FRIENDLY AIRCRAFT POSITION;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;FRIENDLY AIRCRAFT POSITION;;;1B;TRUE BEARING AND DISTANCE IN NM FROM REF PT (ABBREV);TBR;2431;;
;FRIENDLY AIRCRAFT POSITION;;;1C;ACTIVITY LOCATION NAME;NAME;1022/103;;
2;DTG OF INITIAL CONTACT;;;2A;DTG OF INITIAL CONTACT;;2033;14-14;M
3;FRIENDLY AIRCRAFT ALTITUDE IN HUNDREDS OF FEET;;;3A;FRIENDLY AIRCRAFT ALTITUDE IN HUNDREDS OF FEET;;1255/3;3-3;M
4;FRIENDLY AIRCRAFT HEADING IN DEGREES;;;4A;FRIENDLY AIRCRAFT HEADING IN DEGREES;;2065;4-4;M
5;FRIENDLY AIRCRAFT AIRSPEED IN KPH, KTS, MPH;;;5A;FRIENDLY AIRCRAFT AIRSPEED IN KPH, KTS, MPH;;2461;4-6;M
6;NUMBER OF ENEMY AIRCRAFT INTERCEPTED;;;6A;NUMBER OF ENEMY AIRCRAFT INTERCEPTED;;1044/847;1-2;M
7;INTERCEPTED AIRCRAFT TYPE;;;7A;AIRCRAFT BY TYPE, MODEL OR CODE;ACTYP;1015/20;2-10;O
;INTERCEPTED AIRCRAFT TYPE;;;7B;AIRCRAFT TYPE AND MODEL, OTHER;OTHAC;1015/18;;
8;INTERCEPTED AIRCRAFT NATIONALITY;;;8A;NATIONALITY (2A);;1262/5;2-3;O
;INTERCEPTED AIRCRAFT NATIONALITY;;;8B;NATIONALITY (3A);;1262/2;;
9;INTERCEPTED AIRCRAFT ALTITUDE;;;9A;ENEMY ALTITUDE IN HUNDREDS OF FEET;;1255/15;3-3;O
10;INTERCEPTED AIRCRAFT HEADING;;;10A;ENEMY AIRCRAFT HEADING IN DEGREES;;2065;4-4;O
11;INTERCEPTED AIRCRAFT SPEED;;;11A;ENEMY AIRCRAFT AIRSPEED IN KPH, KTS, MPH;;2461;4-6;O
12;INTERCEPTED AIRCRAFT FORMATION;;;12A;DESCRIPTION OF ENEMY FORMATION;;1363/50;1-20;O
13;INTERCEPTED AIRCRAFT MANOEUVRES;;;13A;DESCRIPTION OF ENEMY MANOEUVRES;;1363/51;1-20;O
14;INTERCEPTED AIRCRAFT MANOEUVRES RANGE;;;14A;RANGE OF ENEMY MANOEUVRES IN NM, M OR KM;;2522;2-7;O
15;INTERCEPTED AIRCRAFT WEAPONS;;;15A;ENEMY WEAPONS EMPLOYED;;1407/49;1-10;O
16;MEANS BY WHICH WEAPON IDENTIFIED;;;16A;MEANS BY WHICH WEAPON IDENTIFIED;;1413/2;3-4;C
17;RADAR WARNING RECEIVER INDICATIONS;;;17A;RADAR WARNING RECEIVER INDICATIONS RECEIVED INDICATOR;RWR;1027/89;2-3;C
18;IDENTIFICATION VALIDITY CODE;;;18A;IDENTIFICATION VALIDITY CODE;;1266/1;1-1;O
19;COMMAND ENGAGEMENT AUTHORITY;;;19A;COMMAND ENGAGEMENT AUTHORITY;;1028/50;1-22;M
20;COMMIT TO ENGAGE;;;20A;COMMIT TO ENGAGE INDICATOR;;1027/90;2-3;M
21;DTG OF ENGAGEMENT;;;21A;DTG OF ENGAGEMENT;;2033;14-14;O
22;INTERCEPTED AIRCRAFT COUNTERTACTICS;;;22A;DESCRIPTION OF ENEMY COUNTERTACTICS;;1363/28;1-38;O
23;ORDNANCE/WEAPON TYPE, AIR-TO-AIR;;;23A;ORDNANCE WEAPON TYPE, AIR-TO-AIR;;1407/31;3-6;O*
24;QUANTITY OF ORDNANCE EXPENDED;;;24A;QUANTITY OF ORDNANCE EXPENDED;;1044/225;1-5;O*
25;NUMBER OF ENEMY AIRCRAFT ENGAGED;;;25A;NUMBER OF ENEMY AIRCRAFT ENGAGED;;1044/848;1-2;O*
26;NUMBER OF ENEMY AIRCRAFT DAMAGED;;;26A;NUMBER OF ENEMY AIRCRAFT DAMAGED;;1044/140;1-2;O*
27;NUMBER OF ENEMY AIRCRAFT DESTROYED;;;27A;NUMBER OF ENEMY AIRCRAFT DESTROYED;;1044/141;1-2;O*
28;MEDIA TYPE OF IDENTIFICATION;;;28A;MEDIA TYPE OF IDENTIFICATION;;1862/13;2-5;O*
29;MEDIA REFERENCE NUMBER;;;29A;MEDIA REFERENCE NUMBER;;1012/294;1-4;C*
