FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;REPORTING AIRCRAFT POSITION;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;12-22;M
2;REPORTING AIRCRAFT ALTITUDE IN HUNDREDS OF FEET;;;2A;REPORTING AIRCRAFT ALTITUDE IN HUNDREDS OF FEET;;1255/18;3-3;M
3;AIRCRAFT AIRSPEED IN KPH, KTS, MPH;;;3A;AIRCRAFT AIRSPEED IN KPH, KTS, MPH;;2461;4-6;M
4;AIRCRAFT HEADING IN DEGREES;;;4A;AIRCRAFT HEADING IN DEGREES;;2065;4-4;M
5;DTG OF JAMMING;;;5A;DTG OF JAMMING;;2033;14-14;M
6;MISSION IMPACTED INDICATOR;;;6A;MISSION IMPACTED INDICATOR;;1027/110;2-3;M
7;PERCENTAGE OF JAMMING EFFECTIVENESS;;;7A;PERCENTAGE OF JAMMING EFFECTIVENESS;;1064/37;1-3;M
8;TYPE OF EQUIPMENT JAMMED;;;8A;TYPE OF EQUIPMENT JAMMED;;1135/32;2-5;M
9;JAMMING TYPE EXPERIENCED;;;9A;JAMMING TYPE EXPERIENCED;;1410/4;1-1;M
10;DURATION OF JAMMING, HOURS, MINUTES, OR SECONDS;;;10A;DURATION OF JAMMING, HOURS, MINUTES, OR SECONDS;;2521;3-6;M
11;POSITION OF JAMMER;;;11A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;12-22;O
12;FREQUENCY JAMMED DESIGNATOR;;;12A;FREQUENCY JAMMED DESIGNATOR;;1396/5;1-8;O
13;ADDITIONAL JAMMING COMMENTS;;;13A;ADDITIONAL JAMMING COMMENTS;;1357/5;1-68;O
