FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ENTRY POINT;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;ENTRY POINT;;;1B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;ENTRY POINT;;;1C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;ENTRY POINT;;;1D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;ENTRY POINT;;;1E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;ENTRY POINT;;;1F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
2;EXIT POINTGRID;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;EXIT POINTGRID;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;EXIT POINTGRID;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;EXIT POINTGRID;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;EXIT POINTGRID;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;EXIT POINTGRID;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
