FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ENVIRONMENTAL ACOUSTIC INFORMATION SOURCE;;;1A;ENVIRONMENTAL ACOUSTIC INFORMATION SOURCE;;1474/2;2-3;M
2;FREQUENCY OF INTEREST;;;2A;FREQUENCY OF INTEREST;;2479;3-10;M
3;PREDICTED FIGURE OF MERIT (SOURCE);;;3A;PREDICTED FIGURE OF MERIT;;2290;3-5;M
4;PREDICTED FIGURE OF MERIT (ALLOWABLE LOSS);;;4A;PREDICTED FIGURE OF MERIT;;2290;3-5;M
5;ACTUAL FIGURE OF MERIT;;;5A;ACTUAL FIGURE OF MERIT;;2290;3-5;M
6;PREDICTED MEDIAN DETECTION RNG YARDS, KILOYARDS OR NM;;;6A;PREDICTED MEDIAN DETECTION RNG YARDS, KILOYARDS OR NM;;2275;3-8;M
7;ACTUAL MEDIAN DETECTION RANGE, YARDS, KILOYARDS OR NM;;;7A;ACTUAL MEDIAN DETECTION RANGE, YARDS, KILOYARDS OR NM;;2275;3-8;M
8;BOTTOM BOUNCE DETECTION;;;8A;BOTTOM BOUNCE DETECTION;;1477/1;3-5;O
9;FIRST CZ MINIMUM-MAXIMUM RANGE;;;9A;FIRST CZ MINIMUM-MAXIMUM RANGE;;2289;5-11;O
10;FIRST CZ SIGNAL EXCESS;;;10A;FIRST CZ SIGNAL EXCESS;;2291;3-4;O
11;SECOND CZ SIGNAL EXCESS;;;11A;SECOND CZ SIGNAL EXCESS;;2291;3-4;O
