FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DAY-TIME START;;;1A;DAY-TIME START;;2000;7-7;O
2;NUMBER ESCORTED;;;2A;NUMBER ESCORTED;;1044/330;2-2;M
3;ESCORTED AIRCRAFT OR VEHICLE;;;3A;AIRCRAFT BY TYPE, MODEL OR CODE;ACTYP;1015/20;1-23;M
;ESCORTED AIRCRAFT OR VEHICLE;;;3B;AIRCRAFT TYPE AND MODEL, OTHER;OTHAC;1015/18;;
;ESCORTED AIRCRAFT OR VEHICLE;;;3C;VEHICLE NAME;NAME;1022/224;;
;ESCORTED AIRCRAFT OR VEHICLE;;;3D;AIRCRAFT CATEGORY, ABBREVIATED;ACCAT;1549/2;;
4;PRIMARY AERIAL MISSION TYPE;;;4A;PRIMARY AERIAL MISSION TYPE;;1285/31;2-6;O
5;START POSITION;;;5A;ICAO BASE CODE;ICAO;1125/2;1-22;O
;START POSITION;;;5B;PLACE NAME;NAME;1022/170;;
;START POSITION;;;5C;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;;
;START POSITION;;;5D;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
6;DAY-TIME STOP;;;6A;DAY-TIME STOP;;2000;7-7;O
7;STOP POSITION;;;7A;ICAO BASE CODE;ICAO;1125/2;1-22;O
;STOP POSITION;;;7B;PLACE NAME;NAME;1022/170;;
;STOP POSITION;;;7C;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;;
;STOP POSITION;;;7D;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
8;ESCORTED AIRCRAFT CALL SIGN;;;8A;ESCORTED CALL SIGN;;1129/38;1-12;O
9;MISSION NUMBER SUPPORTED;;;9A;MISSION NUMBER SUPPORTED;;1012/279;1-8;O
10;PRIMARY COMMUNICATION PARAMETERS;;;10A;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;1068/13;1-49;O
;PRIMARY COMMUNICATION PARAMETERS;;;10B;PRIMARY FREQUENCY DESIGNATOR;PDESIG;1396/2;;
;PRIMARY COMMUNICATION PARAMETERS;;;10C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;PHVQKM;2534;;
;PRIMARY COMMUNICATION PARAMETERS;;;10D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;PHVQK;2535;;
11;SECONDARY COMMUNICATION PARAMETERS;;;11A;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;1068/14;1-49;C
;SECONDARY COMMUNICATION PARAMETERS;;;11B;SECONDARY FREQUENCY DESIGNATOR;SDESIG;1396/3;;
;SECONDARY COMMUNICATION PARAMETERS;;;11C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;SHVQKM;2534;;
;SECONDARY COMMUNICATION PARAMETERS;;;11D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;SHVQK;2535;;
