FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;SERIAL NUMBER;;;1A;INTERCEPT SERIAL NUMBER;;1012/25;1-7;M
;SERIAL NUMBER;;;1B;EXERCISE INTERCEPT SERIAL NUMBER;;1012/26;;
;SERIAL NUMBER;;;1C;MESSAGE SERIAL NUMBER;MSGSNO;1012/7;;
2;INTERCEPT PLATFORM LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;INTERCEPT PLATFORM LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;INTERCEPT PLATFORM LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;INTERCEPT PLATFORM LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;INTERCEPT PLATFORM LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;INTERCEPT PLATFORM LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
3;DAY-TIME OF INTERCEPT;;;3A;DAY-TIME OF INTERCEPT;;2000;7-7;M
4;INTERCEPT OF BEARING;;;4A;BEARING IN DEGREES, TRUE;;1439/2;3-4;M
;INTERCEPT OF BEARING;;;4B;BEARING OF SIGNAL FROM INTERCEPTING PLATFORM, DEGREES TRUE;;2253;;
5;EMITTER EVALUATION;;;5A;EMITTER EVALUATION;;1121/2;1-15;M
6;FREQUENCY;;;6A;CRYSTAL FREQUENCY IN KILOHERTZ;;1066/2;1-15;M
;FREQUENCY;;;6B;RADIO FREQUENCY;;2064;;
;FREQUENCY;;;6C;FREQUENCY BAND AND CHANNEL;;2136;;
7;EW CONFIDENCE LEVEL;;;7A;EW CONFIDENCE LEVEL;;1123/2;1-4;M
;EW CONFIDENCE LEVEL;;;7B;EW CREDIBILITY;;1123/4;;
8;PLATFORM DESIGNATOR;;;8A;CONTACT DESIGNATOR;;1515/25;3-5;M
;PLATFORM DESIGNATOR;;;8B;EXERCISE DESIGNATOR;DESIG;2173;;
;PLATFORM DESIGNATOR;;;8C;EXERCISE PLATFORM EMITTING SIGNAL SERIAL NUMBER;XPLAT;1012/28;;
;PLATFORM DESIGNATOR;;;8D;PLATFORM EMITTING SIGNAL SERIAL NUMBER;PESSN;1012/27;;
