FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ESM LOCATION TYPE;;;1A;ESM LOCATION TYPE;;1284/3;3-3;M
2;ESM EMITTER POSITION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;ESM EMITTER POSITION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;ESM EMITTER POSITION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;ESM EMITTER POSITION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;ESM EMITTER POSITION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;ESM EMITTER POSITION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
3;NAVIGATIONAL ACCURACY BY RADIUS OF FIX;;;3A;ACCURACY, NAUTICAL MILES;;2277;3-6;M
4;DIRECTION OF MOVEMENT/COURSE OF EMITTER IN DEGREES TRUE;;;4A;COURSE, DEGREES TRUE;;2258;4-4;C
5;SPEED OF MOVEMENT OF EMITTER CONTACT;;;5A;SPEED OF MOVEMENT OF EMITTER CONTACT;;2461;4-6;C
