FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;MISSION NUMBER OF DELAYED FLIGHT;;;1A;MISSION NUMBER OF DELAYED FLIGHT;;1012/74;1-8;M
2;LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;LOCATION;;;2G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
;LOCATION;;;2H;ICAO LOCATION INDICATOR;ICAO;1125/1;;
;LOCATION;;;2I;LOCATION OR POSITION NAME;LOC;1022/6;;
3;NEW ETA AT DOWNLINE STATION;;;3A;NEW ETA DAY-TIME AND MONTH AT DOWNLINE STATION;;2030;3-10;M
;NEW ETA AT DOWNLINE STATION;;;3B;TIME QUALIFIER TO BE DETERMINED;;1220/10;;
4;EXPLANATION;;;4A;EXPLANATION;;1357/3;1-67;C
