FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;EMITTER IDENTIFICATION;;;1A;EMITTER NAME;NAME;1022/225;1-10;M
;EMITTER IDENTIFICATION;;;1B;EMITTER TYPE;TYPE;1135/26;;
2;ELINT NOTATION OR SORTING CODE;;;2A;ELINT NOTATION;E;1012/34;4-5;O
;ELINT NOTATION OR SORTING CODE;;;2B;SORTING CODE;S;1012/76;;
3;RADIO/RADAR FUNCTION;;;3A;RADIO RADAR FUNCTION;;1471/1;2-2;M
4;LOWER FREQUENCY;;;4A;LOWER RADIO FREQUENCY LIMIT;F;2383;1-16;M
;LOWER FREQUENCY;;;4B;LOWER FREQUENCY IN PULSES PER SECOND;P;1176/1;;
5;UPPER FREQUENCY;;;5A;UPPER RADIO FREQUENCY LIMIT;F;2383;1-16;C
;UPPER FREQUENCY;;;5B;UPPER FREQUENCY IN PULSES PER SECOND;P;1176/2;;
6;EA TECHNIQUE;;;6A;ELECTRONIC ATTACK (EA) TECHNIQUE;;1643/3;6-9;O
