FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CALL SIGN;;;1A;CONTACT CALL SIGN;;1129/31;1-20;M
2;PRIMARY COMMUNICATION PARAMETERS;;;2A;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;1068/13;1-49;M
;PRIMARY COMMUNICATION PARAMETERS;;;2B;PRIMARY FREQUENCY DESIGNATOR;PDESIG;1396/2;;
;PRIMARY COMMUNICATION PARAMETERS;;;2C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;PHVQKM;2534;;
;PRIMARY COMMUNICATION PARAMETERS;;;2D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;PHVQK;2535;;
3;SECONDARY COMMUNICATIONS PARAMETERS;;;3A;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;1068/14;1-49;O
;SECONDARY COMMUNICATIONS PARAMETERS;;;3B;SECONDARY FREQUENCY DESIGNATOR;SDESIG;1396/3;;
;SECONDARY COMMUNICATIONS PARAMETERS;;;3C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;SHVQKM;2534;;
;SECONDARY COMMUNICATIONS PARAMETERS;;;3D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;SHVQK;2535;;
4;LINK 16 CALL SIGN;;;4A;LINK 16 ABBREVIATED CALL SIGN;;1129/41;1-4;O
5;CONTACT POINT;;;5A;POSITION OR POINT NAME;NAME;1022/18;1-22;O
;CONTACT POINT;;;5B;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;;
6;SUPPORTED UNIT IDENTIFIER;;;6A;UNIT DESIGNATOR;UNIT;1028/43;1-24;O
;SUPPORTED UNIT IDENTIFIER;;;6B;UNIT IDENTIFICATION CODE (UIC);UIC;2141;;
7;FAC UNIT REFERENCE NUMBER;;;7A;FAC UNIT REFERENCE NUMBER;URN;1028/46;8-8;O
8;FAC INTERNET ADDRESS;;;8A;FAC INTERNET ADDRESS, IPV4;IPV4;2004;2-45;O
;FAC INTERNET ADDRESS;;;8B;FORWARD AIR CONTROLLER INTERNET ADDRESS, IPV6;IPV6;1999/4;;
9;FAC DATA LINK ADDRESS;;;9A;FAC DATA LINK ADDRESS;;1012/165;3-3;O
