FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ICAO DEPARTURE LOCATION;;;1A;ICAO DEPARTURE LOCATION;;1125/4;4-4;M
2;DAY-TIME OF TAKEOFF;;;2A;DAY-TIME OF TAKEOFF;;2000;7-7;M
3;DAY-TIME ON STATION;;;3A;DAY-TIME ON STATION;;2000;7-7;M
4;AEW ORBIT IDENTIFIER;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;AEW ORBIT IDENTIFIER;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;AEW ORBIT IDENTIFIER;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;AEW ORBIT IDENTIFIER;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;AEW ORBIT IDENTIFIER;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;AEW ORBIT IDENTIFIER;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;AEW ORBIT IDENTIFIER;;;4G;AIRBORNE EARLY WARNING (AEW) ORBIT IDENTIFIER;ORBIT;1577/2;;
5;DAY-TIME OFF STATION;;;5A;DAY-TIME OFF STATION;;2000;7-7;M
6;DAY-TIME OF LANDING;;;6A;DAY-TIME OF LANDING;;2000;7-7;M
7;ICAO RECOVERY BASE;;;7A;ICAO RECOVERY BASE;;1125/5;4-4;M
