FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;GATEWAY SWITCH IDENTIFIER;;;1A;GATEWAY SWITCH IDENTIFIER;;1022/119;1-20;M
2;GATEWAY NODE LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;GATEWAY NODE LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;GATEWAY NODE LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;GATEWAY NODE LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;GATEWAY NODE LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;GATEWAY NODE LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
3;GATEWAY RETRANSMISSION CYCLE LENGTH CODE;;;3A;GATEWAY RETRANSMISSION CYCLE LENGTH CODE;;1520/1;1-3;M
4;GATEWAY INSTALLATION NAME;;;4A;GATEWAY INSTALLATION NAME;;1022/115;1-20;O*
5;GATEWAY INSTALLATION LOCATION;;;5A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O*
;GATEWAY INSTALLATION LOCATION;;;5B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;GATEWAY INSTALLATION LOCATION;;;5C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;GATEWAY INSTALLATION LOCATION;;;5D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;GATEWAY INSTALLATION LOCATION;;;5E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;GATEWAY INSTALLATION LOCATION;;;5F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
6;GATEWAY LIMITING FACTOR;;;6A;GATEWAY LIMITING FACTOR;;1347/2;4-5;O*
7;COMMENTS;;;7A;COMMENTS;;1357/1;1-68;O*
