FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DAY-TIME AVAILABLE FROM;;;1A;DAY-TIME AVAILABLE FROM;;2000;7-7;M
2;DAY-TIME AVAILABLE TO;;;2A;DAY-TIME AVAILABLE TO;;2000;7-7;M
3;UNIT ID;;;3A;UNIT IDENTIFICATION CODE (UIC);UIC;2141;1-24;M
;UNIT ID;;;3B;UNIT DESIGNATOR;UNIT;1028/43;;
;UNIT ID;;;3C;BASE IDENTIFICATION CODE;BASE;2141;;
;UNIT ID;;;3D;ICAO BASE CODE;ICAO;1125/2;;
4;GROUND AGENCY TYPE;;;4A;GROUND AGENCY TYPE;;1874/5;3-6;M
5;CALL SIGN;;;5A;CONTACT CALL SIGN;;1129/31;1-20;M
6;LINK 16 CALL SIGN;;;6A;LINK 16 ABBREVIATED CALL SIGN;;1129/41;1-4;O
7;PRIMARY COMMMUNICATION PARAMETERS;;;7A;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;1068/13;1-49;M
;PRIMARY COMMMUNICATION PARAMETERS;;;7B;PRIMARY FREQUENCY DESIGNATOR;PDESIG;1396/2;;
;PRIMARY COMMMUNICATION PARAMETERS;;;7C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;PHVQKM;2534;;
;PRIMARY COMMMUNICATION PARAMETERS;;;7D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;PHVQK;2535;;
8;SECONDARY COMMUNICATION PARAMETERS;;;8A;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;1068/14;1-49;O
;SECONDARY COMMUNICATION PARAMETERS;;;8B;SECONDARY FREQUENCY DESIGNATOR;SDESIG;1396/3;;
;SECONDARY COMMUNICATION PARAMETERS;;;8C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;SHVQKM;2534;;
;SECONDARY COMMUNICATION PARAMETERS;;;8D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;SHVQK;2535;;
