FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;TIME OF POSITION;;;1A;RELATIVE TIME AT POSITION;RTIME;2482;6-7;M
;TIME OF POSITION;;;1B;DAY-TIME OF POSITION;DTIME;2000;;
2;FRIENDLY UNIT LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;9-54;M
;FRIENDLY UNIT LOCATION;;;2B;BEARING AND DISTANCE FROM REFERENCE POINT;TBR;2157;;
;FRIENDLY UNIT LOCATION;;;2C;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
3;GEODETIC DATUM;;;3A;GEODETIC DATUM;;1195/1;3-6;O
4;UNIT IDENTIFIER;;;4A;UNIT DESIGNATOR;UNIT;1028/43;1-24;O
;UNIT IDENTIFIER;;;4B;UNIT IDENTIFICATION CODE (UIC);UIC;2141;;
5;FRIENDLY FORCE COURSE AND SPEED;;;5A;FRIENDLY FORCE COURSE (TRUE) AND SPEED (KNOTS);;2037;8-10;O
6;MARKING METHOD;;;6A;METHOD OF MARKING FRIENDLY POSITIONS;;1613/2;5-6;O
7;MARKING COLOUR;;;7A;COLOUR;;1138/1;3-6;C
