FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT IDENTIFIER;;;1A;UNIT DESIGNATOR;UNIT;1028/43;1-24;M
;UNIT IDENTIFIER;;;1B;UNIT IDENTIFICATION CODE (UIC);UIC;2141;;
2;DAY-TIME OF INCIDENT;;;2A;DAY-TIME OF INCIDENT;;2000;7-7;M
3;INCIDENT POSITION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-54;M
;INCIDENT POSITION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;INCIDENT POSITION;;;3C;LOCATION OR POSITION NAME;LOC;1022/6;;
;INCIDENT POSITION;;;3D;BEARING AND DISTANCE FROM REFERENCE POINT;TBR;2157;;
4;LOCATION QUALIFIER;;;4A;LOCATION QUALIFIER;;1118/1;2-2;O
5;CALL SIGN;;;5A;CONTACT CALL SIGN;;1129/31;1-20;O
6;PERSONNEL COUNT;;;6A;PERSONNEL COUNT;;1044/133;1-3;O
