FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;MARITIME MOVEMENT STATUS;;;1A;MARITIME MOVEMENT STATUS;;1341/3;3-4;M
2;POSITION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-54;M
;POSITION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;POSITION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;POSITION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;POSITION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;POSITION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;POSITION;;;2G;PLACE NAME, EXTENDED;NAME;1022/261;;
3;TIME OF CONTACT;;;3A;DAY-TIME OF CONTACT;;2000;5-7;M
;TIME OF CONTACT;;;3B;DAY-MONTH NAME;;2067;;
4;CONTACT VALIDITY;;;4A;CONTACT VALIDITY;;2049;2-2;O
