FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;PICK-UP POINT CALL SIGN AND FREQUENCY;;;1A;PICK-UP POINT CALL SIGN AND FREQUENCY;;2051;5-50;O
2;DESTINATION CALL SIGN AND FREQUENCY;;;2A;DESTINATION CALL SIGN AND FREQUENCY;;2051;5-50;O
3;BRIEFING CALL SIGN AND FREQUENCY;;;3A;BRIEFING CALL SIGN AND FREQUENCY;;2051;5-50;O
4;BRIEFING LOCATION;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;BRIEFING LOCATION;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;BRIEFING LOCATION;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;BRIEFING LOCATION;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;BRIEFING LOCATION;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;BRIEFING LOCATION;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;BRIEFING LOCATION;;;4G;BRIEFING LOCATION IDENTIFIER;ID;1261/5;;
;BRIEFING LOCATION;;;4H;BRIEFING LOCATION NICKNAME;NN;1022/156;;
5;DEBRIEFING CALL SIGN AND FREQUENCY;;;5A;DEBRIEFING CALL SIGN AND FREQUENCY;;2051;5-50;C
6;DEBRIEFING LOCATION;;;6A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;DEBRIEFING LOCATION;;;6B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;DEBRIEFING LOCATION;;;6C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;DEBRIEFING LOCATION;;;6D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;DEBRIEFING LOCATION;;;6E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;DEBRIEFING LOCATION;;;6F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;DEBRIEFING LOCATION;;;6G;DEBRIEFING LOCATION IDENTIFIER;ID;1261/4;;
;DEBRIEFING LOCATION;;;6H;DEBRIEFING LOCATION NICKNAME;NN;1022/157;;
