FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;HELICOPTER QUANTITY;;;1A;HELICOPTER QUANTITY;;1044/270;1-3;M
2;TRANSPORT OR UTILITY HELICOPTER TYPE;;;2A;TRANSPORT OR UTILITY HELICOPTER TYPE;;1015/13;2-6;M
3;HELICOPTER TASK DESCRIPTION;;;3A;HELICOPTER TASK DESCRIPTION;;1363/11;1-20;M
4;PICK-UP POINT LOCATION;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;PICK-UP POINT LOCATION;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;PICK-UP POINT LOCATION;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;PICK-UP POINT LOCATION;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;PICK-UP POINT LOCATION;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;PICK-UP POINT LOCATION;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;PICK-UP POINT LOCATION;;;4G;PICK-UP POINT IDENTIFIER;ID;1261/3;;
;PICK-UP POINT LOCATION;;;4H;PICK-UP POINT NICKNAME;NN;1022/154;;
5;DESTINATION OR RECCE TARGET LOCATION;;;5A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;DESTINATION OR RECCE TARGET LOCATION;;;5B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;DESTINATION OR RECCE TARGET LOCATION;;;5C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;DESTINATION OR RECCE TARGET LOCATION;;;5D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;DESTINATION OR RECCE TARGET LOCATION;;;5E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;DESTINATION OR RECCE TARGET LOCATION;;;5F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;DESTINATION OR RECCE TARGET LOCATION;;;5G;DESTINATION OR RECCE TARGET IDENTIFIER;ID;1261/2;;
;DESTINATION OR RECCE TARGET LOCATION;;;5H;DESTINATION OR RECCE TARGET NICKNAME;NN;1022/155;;
