FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;HEADQUARTERS TYPE;;;1A;HEADQUARTERS TYPE;;1311/9;3-5;M
2;HEADQUARTERS LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;HEADQUARTERS LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;HEADQUARTERS LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;HEADQUARTERS LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;HEADQUARTERS LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;HEADQUARTERS LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
3;DTG OF CLOSURE;;;3A;DTG OF CLOSURE;;2033;14-14;M
4;PLANNED LOCATION;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O*
;PLANNED LOCATION;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;PLANNED LOCATION;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;PLANNED LOCATION;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;PLANNED LOCATION;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;PLANNED LOCATION;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
5;DTG PLANNED TO BECOME EFFECTIVE;;;5A;DTG PLANNED TO BECOME EFFECTIVE;;2033;14-14;C*
6;DTG OF CLOSURE AT PLANNED LOCATION;;;6A;DTG OF CLOSURE;;2033;14-14;C*
