FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;IDENTIFICATION GATE NAME;;;1A;IDENTIFICATION GATE NAME;;1022/324;1-20;M
2;FUNCTION OF ID-GATE;;;2A;FUNCTION OF ID-GATE;;1874/8;7-9;M
3;GATE POSITION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-28;M
;GATE POSITION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;GATE POSITION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;GATE POSITION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;GATE POSITION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;GATE POSITION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;GATE POSITION;;;3G;POSITION, TRUE BEARING AND RANGE IN NM;TRUE;2281;;
;GATE POSITION;;;3H;PLACE NAME;NAME;1022/170;;
4;ALTITUDE OR FLIGHTLEVEL;;;4A;ALTITUDE IN HUNDREDS OF FEET;ALT;1255/1;3-3;M
;ALTITUDE OR FLIGHTLEVEL;;;4B;FLIGHT LEVEL NUMBER;FL;1012/42;;
5;CONTROLLING AGENCY;;;5A;CALL SIGN OF CONTROL AGENCY;CS;1129/10;1-38;M
;CONTROLLING AGENCY;;;5B;SHIP NAME OR AGENCY ASSUMING CONTROL;SHIP;1022/23;;
6;PRIMARY FREQUENCY;;;6A;PRIMARY FREQUENCY;;2064;3-14;M
7;PRIMARY COMMUNICATIONS NET DESIGNATOR;;;7A;PRIMARY COMMUNICATIONS NET DESIGNATOR;;1305/6;1-10;M
8;MARITIME COMMUNICATIONS PRIMARY CHANNEL NUMBER;;;8A;MARITIME COMMUNICATIONS PRIMARY CHANNEL NUMBER;;2080;3-5;M
9;SECONDARY FREQUENCY;;;9A;SECONDARY FREQUENCY;;2064;3-14;M
10;SECONDARY COMMUNICATIONS NET DESIGNATOR;;;10A;SECONDARY COMMUNICATIONS NET DESIGNATOR;;1305/7;1-10;M
11;MARITIME COMMUNICATIONS SECONDARY CHANNEL NUMBER;;;11A;MARITIME COMMUNICATIONS SECONDARY CHANNEL NUMBER;;2080;3-5;M
12;SELF IDENTIFICATION METHOD;;;12A;IFF/SIF MODE AND CODE;;2083;4-27;O
;SELF IDENTIFICATION METHOD;;;12B;AIR IDENTIFYING MANOEUVRE;;1516/3;;
