FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;FREQUENCY;;;1A;FREQUENCY IN MEGAHERTZ;FREQ;1068/1;1-16;M
;FREQUENCY;;;1B;FREQUENCY DESIGNATOR;DESIG;1396/1;;
2;IMAGERY RECEIVER CALL SIGN;;;2A;IMAGERY RECEIVER CALL SIGN;;1129/32;1-20;M
3;REPORT-IN POINT;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;REPORT-IN POINT;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;REPORT-IN POINT;;;3C;LOCATION NAME;LOC;1022/4;;
4;DAY-TIME OF LINK START;;;4A;DAY-TIME OF LINK START;;2000;7-7;O
5;DAY-TIME OF LINK STOP;;;5A;DAY-TIME OF LINK STOP;;2000;7-7;C
6;IMAGERY RECEIVER LOCATION;;;6A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;IMAGERY RECEIVER LOCATION;;;6B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;IMAGERY RECEIVER LOCATION;;;6C;LOCATION NAME;LOC;1022/4;;
