FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;FREQUENCY;;;1A;FREQUENCY IN MEGAHERTZ;FREQ;1068/1;1-16;M
;FREQUENCY;;;1B;FREQUENCY DESIGNATOR;DESIG;1396/1;;
2;IMAGERY RECEIVER CALL SIGN;;;2A;IMAGERY RECEIVER CALL SIGN;;1129/32;1-20;M
3;REPORT-IN POINT;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;REPORT-IN POINT;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;REPORT-IN POINT;;;3C;LOCATION NAME;LOC;1022/4;;
4;LINK 16 CALL SIGN;;;4A;LINK 16 ABBREVIATED CALL SIGN;;1129/41;1-4;O
5;DAY-TIME OF LINK START;;;5A;DAY-TIME OF LINK START;;2000;7-7;O
6;DAY-TIME OF LINK STOP;;;6A;DAY-TIME OF LINK STOP;;2000;7-7;C
7;IMAGERY RECEIVER LOCATION;;;7A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;IMAGERY RECEIVER LOCATION;;;7B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;IMAGERY RECEIVER LOCATION;;;7C;LOCATION NAME;LOC;1022/4;;
