FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;AIRBORNE SENSOR TYPE;;;1A;AIRBORNE SENSOR TYPE;;1434/3;2-5;M
2;SENSOR VIEW;;;2A;SENSOR VIEW;;1433/1;1-4;M
3;REPORT DESCRIPTOR;;;3A;REPORT DESCRIPTOR;;1018/10;4-12;M
4;RECONNAISSANCE MISSION PURPOSE;;;4A;RECONNAISSANCE MISSION PURPOSE;;1435/1;1-1;M
5;DAY-TIME OF INTELLIGENCE VALUE;;;5A;LATEST DAY-TIME OF INTELLIGENCE VALUE;;2000;7-14;O
;DAY-TIME OF INTELLIGENCE VALUE;;;5B;DTG OF LATEST TIME OF INTELLIGENCE VALUE;;2033;;
6;NUMBER OF COPIES, 000-999;;;6A;NUMBER OF COPIES, 000-999;;1044/62;3-3;O
7;COPY TYPE;;;7A;COPY TYPE;;1438/1;5-10;O
8;IMAGERY SCALE;;;8A;IMAGERY SCALE;;1079/3;1-6;O
;IMAGERY SCALE;;;8B;IMAGERY SCALE NUMERIC;;1079/5;;
9;DAY-TIME OF LATEST DELIVERY;;;9A;DAY-TIME OF LATEST DELIVERY;;2000;7-14;O
;DAY-TIME OF LATEST DELIVERY;;;9B;DTG OF LATEST TIME OF DELIVERY;;2033;;
10;DELIVERY ADDRESS;;;10A;DELIVERY ADDRESS;;1437/1;1-61;O
11;DELIVERY MEANS;;;11A;DELIVERY MEANS;;1436/1;3-14;O
12;SECURITY CLASSIFICATION, ABBREVIATED;;;12A;SECURITY CLASSIFICATION, ABBREVIATED;;1288/1;1-6;O
