FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;SENSOR AND IMAGE TYPE;;;1A;SENSOR AND IMAGE TYPE;;2409;2-2;M
2;SENSOR POSITION;;;2A;SENSOR POSITION;;1677/3;2-3;O
3;IMAGE NUMBER;;;3A;IMAGE NUMBER;;1012/238;1-14;O
4;IMAGE QUALIFIER;;;4A;IMAGE QUALIFIER;;1677/6;1-2;O
5;IMAGERY SCALE;;;5A;IMAGERY SCALE;;1079/3;1-6;O
;IMAGERY SCALE;;;5B;IMAGERY SCALE NUMERIC;;1079/5;;
6;PERCENT OF COVERAGE;;;6A;PERCENT OF COVERAGE;;1064/44;1-3;O
7;MAJOR WEATHER CONDITION;;;7A;MAJOR WEATHER CONDITION;;1386/9;2-2;O
8;ENVIRONMENTAL EFFECTS ON IMAGES;;;8A;ENVIRONMENTAL EFFECTS ON IMAGES;;1730/2;2-2;O
9;IMAGERY MISSION DATE, YEAR-MONTH-DAY;;;9A;IMAGERY MISSION DATE, YYYYMMDD;;2053;8-8;O
10;MISSION NUMBER;;;10A;MISSION NUMBER;;1012/69;1-8;O
11;PROJECT, REPORT OR MESSAGE IDENTIFIER;;;11A;PROJECT, REPORT OR MESSAGE IDENTIFIER;;1102/12;2-2;O
12;COVERAGE;;;12A;ANGLE OF IMAGERY COVERAGE;;1433/2;1-1;O
;COVERAGE;;;12B;IMAGERY COVERAGE EXTENT AND MODE;;1677/4;;
13;IMAGE QUALITY;;;13A;IMAGE QUALITY;;1675/2;1-1;O
