FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT DESIGNATION;;;1A;SHIP NAME;SHIP;1022/49;1-38;M
;UNIT DESIGNATION;;;1B;BASE NAME;BASE;1022/104;;
;UNIT DESIGNATION;;;1C;PLACE NAME;PLACE;1022/170;;
;UNIT DESIGNATION;;;1D;UNIT;UNIT;1022/57;;
;UNIT DESIGNATION;;;1E;AIRCRAFT BY TYPE, MODEL OR CODE;AC;1015/20;;
2;PRIMARY JTIDS UNIT (JU) ADDRESS OR CRYPTO LINE NUMBER;;;2A;PRIMARY JTIDS UNIT (JU) ADDRESS;JU;1625/32;4-5;M
;PRIMARY JTIDS UNIT (JU) ADDRESS OR CRYPTO LINE NUMBER;;;2B;CRYPTO PUBLICATION LINE NUMBER;LULN;1012/181;;
3;CALL SIGN;;;3A;CALL SIGN;;1129/1;1-38;O
4;LINK 16 ABBREVIATED CALL SIGN;;;4A;LINK 16 ABBREVIATED CALL SIGN;;1129/41;1-4;O
5;LINK 16 TRACK NUMBER BLOCK ASSIGNMENT;;;5A;LINK 16 TRACK NUMBER BLOCK ASSIGNMENT;;2616;11-11;O
