FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ANNUAL CAPACITY;;;1A;STORAGE CAPACITY;CAPSTOR;1869/3;1-10;M
;ANNUAL CAPACITY;;;1B;PRODUCTION CAPACITY;CAPPROD;1869/4;;
2;CAPACITY DATE-TIME (Z), YYYYMMDDHHMMSS;;;2A;CAPACITY DATE-TIME (Z), YYYYMMDDHHMMSS;CAPTIME;2417;14-14;O
3;VALIDITY;;;3A;VALIDITY;;1266/2;1-1;O
4;CAPACITY VALIDITY DATE-TIME (Z), YYYYMMDDHHMMSS;;;4A;CAPACITY VALIDITY DATE-TIME (Z), YYYYMMDDHHMMSS;CAVATIM;2417;14-14;O
5;CAPACITY MAXIMUM;;;5A;CAPACITY MAXIMUM;CAPMAX;1869/2;1-10;O
6;CAPACITY UNIT OF MEASUREMENT;;;6A;CAPACITY UNIT OF MEASUREMENT;;1008/104;1-10;M
7;INDUSTRIAL ITEM;;;7A;INDUSTRIAL ITEM;;1870/1;1-9;O
8;ITEM AVAILABILITY;;;8A;ITEM AVAILABILITY;;1868/3;1-4;O
9;ITEM COUNTRY CODE;;;9A;ITEM COUNTRY CODE;;1026/22;2-2;O
10;ITEM PERCENT IMPORTED;;;10A;ITEM PERCENT IMPORTED;IMP;1064/38;1-3;O
11;ITEM PERCENT EXPORTED;;;11A;ITEM PERCENT EXPORTED;EXP;1064/46;1-3;O
12;ITEM TYPE;;;12A;ITEM TYPE;;1862/4;1-4;O
13;FACILITY INTEGRATION;;;13A;FACILITY INTEGRATION;;1760/2;1-4;O
14;LINE QUANTITY;;;14A;LINE QUANTITY;LINES;1044/380;1-3;O
15;CRITICAL INDUSTRY;;;15A;CRITICAL INDUSTRY;CRITICAL;1559/2;1-1;O
16;PERCENTAGE OF FOREIGN TECHNOLOGY;;;16A;PERCENTAGE OF FOREIGN TECHNOLOGY;PERCENT;1064/39;1-3;O
17;MODERNISATION;;;17A;MODERNISATION;;1584/11;1-6;O
18;OPEN STORAGE COVERED;;;18A;OPEN STORAGE COVERED;STORECOV;1656/2;1-10;O
19;OPEN STORAGE TOTAL;;;19A;OPEN STORAGE TOTAL;OSTORTOT;1656/3;1-10;O
20;ANNUAL INDUSTRIAL OUTPUT;;;20A;ANNUAL INDUSTRIAL OUTPUT;OUTPUT;1659/2;1-10;O
21;OUTPUT DATE, DDMMYYYY;;;21A;OUTPUT DATE, DDMMYYYY;OUTDATE;2052;8-8;C
22;VALIDITY, OUTPUT;;;22A;VALIDITY;;1266/2;1-1;C
23;OUTPUT VALIDITY DATE, DDMMYYYY;;;23A;OUTPUT VALIDITY DATE, DDMMYYYY;;2052;8-8;C
24;MAXIMUM ANNUAL OUTPUT;;;24A;MAXIMUM ANNUAL OUTPUT;OUTMAX;1659/3;1-10;O
25;OUTPUT UNIT OF MEASUREMENT;;;25A;OUTPUT UNIT OF MEASUREMENT;;1008/103;1-10;C
26;PRODUCTION SCALE;;;26A;PRODUCTION SCALE;;1809/1;1-5;O
27;TURN AROUND TIME, DDDHHMM;;;27A;TURN AROUND TIME, DDDHHMM;;2599;5-7;O
28;POWER SOURCE;;;28A;POWER SOURCE;;1243/5;1-1;O*
29;INDUSTRIAL ROLE LEVEL;;;29A;INDUSTRIAL ROLE LEVEL;;1599/1;1-5;O*
30;ROLE TYPE, INDUSTRIAL PLANT;;;30A;ROLE TYPE, INDUSTRIAL PLANT;;1599/2;1-4;O*
31;COUNTRY PROVIDING FOREIGN TECHNOLOGY;;;31A;COUNTRY PROVIDING FOREIGN TECHNOLOGY;ORIGTECH;1026/23;2-2;O*
32;REMARKS;;;32A;REMARKS;;1357/28;1-68;O*
