FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;TARGET CATEGORY PURPOSE;;;1A;TARGET CATEGORY PURPOSE;;1435/2;1-1;M
2;TARGET CATEGORY DESIGNATOR;;;2A;TARGET CATEGORY DESIGNATOR;;1309/4;5-29;M
3;NAME OF TARGET;;;3A;INSTALLATION NAME;INST;1022/217;1-38;M
;NAME OF TARGET;;;3B;SITE NAME;SITE;1022/68;;
;NAME OF TARGET;;;3C;FIELD LOCATION NAME OF ENEMY;FLOC;1022/218;;
;NAME OF TARGET;;;3D;AREA NAME;AREA;1022/69;;
;NAME OF TARGET;;;3E;REFERENCE POINT NAME;REF;1022/2;;
4;BASIC ENCYCLOPEDIA NUMBER;;;4A;BASIC ENCYCLOPEDIA NUMBER;;2002;10-10;O
5;BASIC ENCYCLOPEDIA NUMBER SUFFIX;;;5A;BASIC ENCYCLOPEDIA NUMBER SUFFIX;;1012/102;2-2;C
6;RECONNAISSANCE TARGET TYPE;;;6A;RECONNAISSANCE TARGET TYPE;;1309/5;2-2;O
7;GEOGRAPHICAL ENTITY;;;7A;GEOGRAPHICAL ENTITY;;1026/1;2-2;O
8;INSTALLATION USER CATEGORY;;;8A;INSTALLATION USER CATEGORY;;1644/1;3-5;O
9;ORDER OF BATTLE INDICATOR;;;9A;ORDER OF BATTLE INDICATOR;;1670/5;1-1;O
10;ORDER OF BATTLE ITEM;;;10A;ORDER OF BATTLE ITEM;;1650/5;2-7;O*
11;EVALUATION OF ACCURACY;;;11A;EVALUATION OF ACCURACY;;1251/1;1-1;O*
