FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;INPORT PLACE NAME;;;1A;INPORT PLACE NAME;;1022/263;1-38;M
2;GEOGRAPHICAL ENTITY;;;2A;GEOGRAPHICAL ENTITY;;1026/1;2-2;M
3;INPORT DATE TIME;;;3A;DTG;DTG;2033;9-14;M
;INPORT DATE TIME;;;3B;DATE, DDMMMYYYY;DMY;2001;;
4;SENSOR TYPE;;;4A;SENSOR TYPE;;1434/1;2-6;M
5;ACOUSTIC INFORMATION SOURCE;;;5A;ACOUSTIC INFORMATION SOURCE;;1474/1;2-7;M
6;ARRIVAL INPORT LOCATION;;;6A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;ARRIVAL INPORT LOCATION;;;6B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;ARRIVAL INPORT LOCATION;;;6C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;ARRIVAL INPORT LOCATION;;;6D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;ARRIVAL INPORT LOCATION;;;6E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;ARRIVAL INPORT LOCATION;;;6F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
7;NUMBER OF PERSONS ON BOARD;;;7A;NUMBER OF PERSONS ON BOARD;;1044/341;1-4;O
8;CARGO CATEGORY;;;8A;CARGO INDICATOR;;1173/4;3-3;O*
;CARGO CATEGORY;;;8B;TYPE OF DRUG CARGO;DRUG;1173/12;;
