FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;VOICE CONTROL AND COORDINATION NET FUNCTION;;;1A;VOICE CONTROL AND COORDINATION NET FUNCTION;;1630/2;3-5;M
2;COMMUNICATION PRIORITY;;;2A;COMMUNICATION PRIORITY;;1124/2;1-1;M
3;TRANSMISSION MEDIUM;;;3A;ASSIGNED RADIO FREQUENCY;ASGN;2064;2-45;M
;TRANSMISSION MEDIUM;;;3B;WINDOW RADIO FREQUENCY;WIN;2064;;
;TRANSMISSION MEDIUM;;;3C;INTERNET PROTOCOL (IP) ADDRESS, IPV4;IP4;2004;;
;TRANSMISSION MEDIUM;;;3D;INTERNET PROTOCOL (IP) ADDRESS, IPV6;IP6;1999/1;;
;TRANSMISSION MEDIUM;;;3E;COMMUNICATIONS PATH;;1022/644;;
4;FREQUENCY DESIGNATOR;;;4A;FREQUENCY DESIGNATOR;;1396/1;1-8;O
5;CIRCUIT CALLSIGN USE;;;5A;CIRCUIT CALLSIGN USE;;1589/5;1-20;O
6;CODEWORD;;;6A;CODEWORD;;1020/8;1-15;O
