FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;TYPE JETTISONED;;;1A;ORDNANCE WEAPON TYPE AIR-TO-SURFACE;AS;1407/32;1-20;M
;TYPE JETTISONED;;;1B;ORDNANCE WEAPON TYPE, AIR-TO-AIR;AA;1407/31;;
;TYPE JETTISONED;;;1C;FUEL STORES PODS JETTISONED;PODS;1135/31;;
2;JETTISONED WEAPONS STATUS;;;2A;JETTISONED WEAPONS STATUS;;1584/8;3-3;C
3;NUMBER OF OBJECTS JETTISONED;;;3A;NUMBER OF OBJECTS JETTISONED;;1044/849;1-2;M
4;JETTISON POSITION;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;12-22;M
5;REPORTING AIRCRAFT ALTITUDE IN HUNDREDS OF FEET;;;5A;REPORTING AIRCRAFT ALTITUDE IN HUNDREDS OF FEET;;1255/18;3-3;M
6;AIRCRAFT HEADING IN DEGREES;;;6A;AIRCRAFT HEADING IN DEGREES;;2065;4-4;M
7;AIRCRAFT AIRSPEED IN KPH, KTS, MPH;;;7A;AIRCRAFT AIRSPEED IN KPH, KTS, MPH;;2461;4-6;M
8;DTG OF JETTISON;;;8A;DTG OF JETTISON;;2033;14-14;M
9;REASON FOR JETTISON;;;9A;REASON FOR JETTISON;;1212/14;1-30;M
