FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;LANDING SITE LOCATION;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-54;M
;LANDING SITE LOCATION;;;1B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LANDING SITE LOCATION;;;1C;BEARING AND DISTANCE FROM REFERENCE POINT;BAR;2157;;
;LANDING SITE LOCATION;;;1D;LOCATION NAME;LOC;1022/4;;
;LANDING SITE LOCATION;;;1E;ICAO LOCATION INDICATOR;ICAO;1125/1;;
2;RUN IN HEADING IN DEGREES MAGNETIC;;;2A;RUN IN HEADING IN DEGREES MAGNETIC;;1804/4;3-3;O
3;LANDING SITE LENGTH IN METRES;;;3A;LANDING SITE LENGTH IN METRES;;1657/16;1-4;O
4;LANDING SITE WIDTH IN METRES;;;4A;LANDING SITE WIDTH IN METRES;;1658/7;1-4;O
5;ENEMY ACTION STATUS;;;5A;ENEMY ACTION STATUS;;1797/1;3-4;O
6;DAY-TIME AS OF;;;6A;DAY-TIME AS OF;;2000;7-7;C
7;FRIENDLY POSITIONS MARKING METHOD;;;7A;METHOD OF MARKING FRIENDLY POSITIONS;;1613/2;5-6;O
8;COLOUR;;;8A;COLOUR;;1138/1;3-6;C
9;CONTACT CALL SIGN OR NAME;;;9A;CONTACT CALL SIGN;CONTACT;1129/31;1-20;O*
;CONTACT CALL SIGN OR NAME;;;9B;CONTACT NAME;NAME;1022/7;;
10;LINK 16 CALL SIGN;;;10A;LINK 16 ABBREVIATED CALL SIGN;;1129/41;1-4;O*
11;PRIMARY COMMUNICATION PARAMETERS;;;11A;NON-SECURE TELEPHONE;PPHON;1361/3;1-60;O*
;PRIMARY COMMUNICATION PARAMETERS;;;11B;SECURE TELEPHONE NUMBER;SECPPHON;1361/4;;
;PRIMARY COMMUNICATION PARAMETERS;;;11C;LANDING SITE PRIMARY FREQUENCY IN MEGAHERTZ;PFREQ;1068/12;;
;PRIMARY COMMUNICATION PARAMETERS;;;11D;PRIMARY FREQUENCY DESIGNATOR;PDESIG;1396/2;;
;PRIMARY COMMUNICATION PARAMETERS;;;11E;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;PHVQKM;2534;;
;PRIMARY COMMUNICATION PARAMETERS;;;11F;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;PHVQK;2535;;
;PRIMARY COMMUNICATION PARAMETERS;;;11G;ELECTRONIC MAIL ADDRESS;PEMAIL;1183/7;;
;PRIMARY COMMUNICATION PARAMETERS;;;11H;NON-SECURE FACSIMILE (FAX) NUMBER;PFAX;1361/7;;
;PRIMARY COMMUNICATION PARAMETERS;;;11I;SECURE FACSIMILE (FAX) NUMBER;PSECFAX;1361/8;;
12;SECONDARY COMMUNICATION PARAMETERS;;;12A;NON-SECURE TELEPHONE;SPHON;1361/3;1-60;C*
;SECONDARY COMMUNICATION PARAMETERS;;;12B;SECURE TELEPHONE NUMBER;SECSPHON;1361/4;;
;SECONDARY COMMUNICATION PARAMETERS;;;12C;LANDING SITE SECONDARY FREQUENCY IN MEGAHERTZ;SFREQ;1068/10;;
;SECONDARY COMMUNICATION PARAMETERS;;;12D;SECONDARY FREQUENCY DESIGNATOR;SDESIG;1396/3;;
;SECONDARY COMMUNICATION PARAMETERS;;;12E;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;SHVQKM;2534;;
;SECONDARY COMMUNICATION PARAMETERS;;;12F;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;SHVQK;2535;;
;SECONDARY COMMUNICATION PARAMETERS;;;12G;ELECTRONIC MAIL ADDRESS;SEMAIL;1183/7;;
;SECONDARY COMMUNICATION PARAMETERS;;;12H;NON-SECURE FACSIMILE (FAX) NUMBER;SFAX;1361/7;;
;SECONDARY COMMUNICATION PARAMETERS;;;12I;SECURE FACSIMILE (FAX) NUMBER;SSECFAX;1361/8;;
