FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;NUMBER OF LANDING CRAFT EMBARKED;;;1A;NUMBER OF LANDING CRAFT EMBARKED;;1044/85;1-2;M
2;TYPE OF LANDING CRAFT EMBARKED;;;2A;LANDING CRAFT TYPE;;1166/6;2-5;M
3;STATION WHEN SECURED FOR SEA;;;3A;LANDING CRAFT STATION;;1641/2;4-5;M
4;RESPONSE TIME, MINUTES;;;4A;RESPONSE TIME IN MINUTES;;1072/20;1-2;M
5;ABILITY TO LAUNCH UNDERWAY;;;5A;ABILITY TO LAUNCH UNDERWAY;;1027/75;2-3;M
6;MAXIMUM OPERATING SEA STATE;;;6A;MAX OPERATING SEA STATE;;1392/5;1-1;M
7;LANDING CRAFT PLANNING SPEED IN KNOTS;;;7A;LANDING CRAFT PLANNING SPEED IN KNOTS;;1061/7;1-2;M
8;ENDURANCE IN NAUTICAL MILES AT PLANNING SPEED;;;8A;ENDURANCE IN NAUTICAL MILES AT PLANNING SPEED;;1089/13;1-4;M
9;LOAD CAPACITY, TROOPS;;;9A;TROOP LOAD CAPACITY ON LANDING CRAFT;;1044/86;1-3;M
10;LOAD CAPACITY, LINEAR METRES;;;10A;MAXIMUM LOAD LENGTH IN METRES;;1657/8;1-3;M
11;NUMBER OF ITEMS OF RADIO EQUIPMENT;;;11A;NUMBER OF ITEMS OF RADIO EQUIPMENT;;1044/231;1-2;M*
12;TRANSMISSION BAND;;;12A;TRANSMISSION BAND;;1175/3;2-3;M*
