FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DATA LINK TRANSMISSION MODE;;;1A;DATA LINK FREQUENCY MODE;;1175/5;2-4;M
;DATA LINK TRANSMISSION MODE;;;1B;DATA LINK TRANSMISSION MODE;;1181/2;;
2;DATA LINK OPERATING MODE;;;2A;DATA LINK OPERATING MODE;;1378/2;2-2;M
3;HOURS ATTEMPTED;;;3A;HOURS ATTEMPTED;;1383/3;3-4;M
4;HOURS SUCCESSFUL;;;4A;HOURS SUCCESSFUL;;1383/4;3-4;M
5;TIME TO ESTABLISH LINK;;;5A;TIME TO ESTABLISH LINK;;1383/5;3-4;O
6;DATA LINK TRANSMIT-RECEIVE INDICATOR;;;6A;DATA LINK TRANSMIT-RECEIVE INDICATOR;;1484/1;1-2;O
7;DATA ACCURACY;;;7A;DATA ACCURACY;;1485/1;1-1;O
8;DATA LINK TRANSMISSION AVERAGE QUALITY;;;8A;DATA LINK TRANSMISSION AVERAGE QUALITY;;2297;3-3;O
9;DATA LINK RECEPTION AVERAGE QUALITY;;;9A;DATA LINK RECEPTION AVERAGE QUALITY;;2297;3-3;O
