FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT DESIGNATION;;;1A;SHIP NAME;SHIP;1022/49;1-38;M
;UNIT DESIGNATION;;;1B;BASE NAME;BASE;1022/104;;
;UNIT DESIGNATION;;;1C;PLACE NAME;PLACE;1022/170;;
;UNIT DESIGNATION;;;1D;UNIT;UNIT;1022/57;;
;UNIT DESIGNATION;;;1E;AIRCRAFT BY TYPE, MODEL OR CODE;AC;1015/20;;
2;CALL SIGN;;;2A;CALL SIGN;CS;1129/1;1-38;O
;CALL SIGN;;;2B;CALL SIGN LINE NUMBER;CSLN;1012/679;;
3;PARTICIPATING/JTIDS UNIT IDENTIFIER;;;3A;PARTICIPATING UNIT (PU) ADDRESS NUMBER;PU;1625/23;2-5;M
;PARTICIPATING/JTIDS UNIT IDENTIFIER;;;3B;CRYPTO PUBLICATION LINE NUMBER;LULN;1012/181;;
;PARTICIPATING/JTIDS UNIT IDENTIFIER;;;3C;PRIMARY JTIDS UNIT (JU) ADDRESS;JU;1625/32;;
4;TRACK NUMBER BLOCK OR POOL ALLOCATION;;;4A;LINK 11/11B TRACK NUMBER BLOCK;BLOCK;2611;9-9;M
;TRACK NUMBER BLOCK OR POOL ALLOCATION;;;4B;LINK 11 TRACK NUMBER POOL;POOL;2611;;
5;SATELLITE LINK 16 EQUIPMENT TYPE;;;5A;SATELLITE LINK 16 EQUIPMENT TYPE;;1135/52;3-7;M
6;SATELLITE GATEWAY CONTROLLER;;;6A;SATELLITE GATEWAY CONTROLLER;;1027/78;2-3;M
7;JU DATA SILENT;;;7A;JU DATA SILENT;;1027/79;2-3;M
