FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;LOCATION OR POSITION NAME;;;1A;LOCATION OR POSITION NAME;;1022/6;1-15;M
2;GEOGRAPHICAL ENTITY;;;2A;GEOGRAPHICAL ENTITY;;1026/1;2-2;M
3;PEACETIME LOCATION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;PEACETIME LOCATION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;PEACETIME LOCATION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;PEACETIME LOCATION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;PEACETIME LOCATION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;PEACETIME LOCATION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
4;UNIT IDENTIFIER;;;4A;SHIP NAME;;1022/49;1-38;O*
;UNIT IDENTIFIER;;;4B;UNIT IDENTIFICATION CODE (UIC);UIC;2141;;
