FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;LOCATION OF EVENT;;;1A;LOCATION OF EVENT, PLACE NAME;;1022/22;1-38;M
;LOCATION OF EVENT;;;1B;SHIP NAME;SHIP;1022/49;;
2;GEOGRAPHICAL ENTITY;;;2A;GEOGRAPHICAL ENTITY;;1026/1;2-2;M
3;GEOGRAPHIC POSITION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;GEOGRAPHIC POSITION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;GEOGRAPHIC POSITION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;GEOGRAPHIC POSITION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;GEOGRAPHIC POSITION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;GEOGRAPHIC POSITION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;GEOGRAPHIC POSITION;;;3G;NICS LOCATION CODE;NICS;1263/1;;
