FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;LINE OF DEPARTURE, LEFT FLANK;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;LINE OF DEPARTURE, LEFT FLANK;;;1B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LINE OF DEPARTURE, LEFT FLANK;;;1C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LINE OF DEPARTURE, LEFT FLANK;;;1D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LINE OF DEPARTURE, LEFT FLANK;;;1E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LINE OF DEPARTURE, LEFT FLANK;;;1F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
2;LINE OF DEPARTURE, RIGHT FLANK;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;LINE OF DEPARTURE, RIGHT FLANK;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LINE OF DEPARTURE, RIGHT FLANK;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LINE OF DEPARTURE, RIGHT FLANK;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LINE OF DEPARTURE, RIGHT FLANK;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LINE OF DEPARTURE, RIGHT FLANK;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
3;GEODETIC DATUM;;;3A;GEODETIC DATUM;;1195/1;3-6;O
