FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT DESIGNATION;;;1A;SHIP NAME;SHIP;1022/49;1-38;M
;UNIT DESIGNATION;;;1B;BASE NAME;BASE;1022/104;;
;UNIT DESIGNATION;;;1C;PLACE NAME;PLACE;1022/170;;
;UNIT DESIGNATION;;;1D;UNIT;UNIT;1022/57;;
;UNIT DESIGNATION;;;1E;AIRCRAFT BY TYPE, MODEL OR CODE;AC;1015/20;;
2;CALL SIGN OR LINE NUMBER;;;2A;CALL SIGN;CS;1129/1;1-38;O
;CALL SIGN OR LINE NUMBER;;;2B;CALL SIGN LINE NUMBER;CSLN;1012/679;;
3;REPORTING UNIT NUMBER OR LINE NUMBER;;;3A;REPORTING UNIT (RU) ADDRESS NUMBER;RU;1625/24;3-4;M
;REPORTING UNIT NUMBER OR LINE NUMBER;;;3B;LINK UNIT LINE NUMBER;LULN;1012/603;;
4;PARTICIPATING UNIT (PU) ADDRESS/NUMBER;;;4A;PARTICIPATING UNIT (PU) ADDRESS NUMBER;PU;1625/23;2-4;O
;PARTICIPATING UNIT (PU) ADDRESS/NUMBER;;;4B;LINK UNIT LINE NUMBER;LULN;1012/603;;
5;LINK 11/11B TRACK NUMBER BLOCK;;;5A;LINK 11/11B TRACK NUMBER BLOCK;;2611;9-9;M
6;FORWARDING TRACK NUMBER BLOCK;;;6A;FORWARDING TRACK NUMBER BLOCK;FBLOCK;2611;9-9;O
7;GEOGRAPHIC POSITION;;;7A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;GEOGRAPHIC POSITION;;;7B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;GEOGRAPHIC POSITION;;;7C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;GEOGRAPHIC POSITION;;;7D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;GEOGRAPHIC POSITION;;;7E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;GEOGRAPHIC POSITION;;;7F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
8;LINK DUTY;;;8A;LINK DUTY;;1109/2;2-4;O*
