FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;VEHICLE DISTANCE ON AUTOBAHNEN OR FREEWAYS;;;1A;VEHICLE DISTANCE IN METRES, AUTOBAHN FREEWAY;DISTAUT;1052/17;1-4;O
2;VEHICLE DISTANCE ON OTHER ROADS;;;2A;VEHICLE DISTANCE IN METRES, OTHER ROADS;DISTOTH;1052/18;1-4;O
3;AVERAGE SPEED ON AUTOBAHNEN OR FREEWAYS;;;3A;AVERAGE SPEED IN KILOMETRES PER HOUR, AUTOBAHNEN FREEWAYS;SPEEDAUT;1267/3;1-2;O
4;AVERAGE SPEED ON OTHER ROADS;;;4A;AVERAGE SPEED IN KILOMETRES PER HOUR, OTHER ROADS;SPEEDOTH;1267/4;1-2;O
5;NUMBER OF MARCHING GROUPS;;;5A;NUMBER OF MARCHING GROUPS;MARGROUP;1044/382;1-3;O
6;NUMBER OF CONVOYS;;;6A;NUMBER OF CONVOYS;CONVOYS;1044/383;1-3;O
7;NUMBER OF PACKETS;;;7A;NUMBER OF PACKETS;PACKETS;1044/384;1-3;O
8;TIME BETWEEN MARCHING GROUPS;;;8A;TIME IN MINUTES BETWEEN MARCHING GROUPS;TBMARGR;1072/26;1-2;O
9;TIME BETWEEN CONVOYS;;;9A;TIME IN MINUTES BETWEEN CONVOYS;TBCONV;1072/27;1-2;O
10;TIME BETWEEN PACKETS;;;10A;TIME IN MINUTES BETWEEN PACKETS;TBPACK;1072/28;1-2;O
11;POINT OF ORIGIN;;;11A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;POINT OF ORIGIN;;;11B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;POINT OF ORIGIN;;;11C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;POINT OF ORIGIN;;;11D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;POINT OF ORIGIN;;;11E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;POINT OF ORIGIN;;;11F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
12;ORIGINATION COUNTRY;;;12A;ORIGINATION COUNTRY;;1026/27;2-2;O
13;POINT OF DESTINATION;;;13A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;POINT OF DESTINATION;;;13B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;POINT OF DESTINATION;;;13C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;POINT OF DESTINATION;;;13D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;POINT OF DESTINATION;;;13E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;POINT OF DESTINATION;;;13F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
14;DESTINATION COUNTRY;;;14A;DESTINATION COUNTRY;;1026/28;2-2;O
15;START POINT;;;15A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;START POINT;;;15B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;START POINT;;;15C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;START POINT;;;15D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;START POINT;;;15E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;START POINT;;;15F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
16;START POINT COUNTRY;;;16A;START POINT COUNTRY;;1026/29;2-2;O
17;SEQUENTIAL PRIORITY OF MOVE FROM START POINT;;;17A;SEQUENTIAL PRIORITY OF MOVE FROM START POINT;PRIOR;1494/6;1-68;O
18;RELEASE POINT;;;18A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;RELEASE POINT;;;18B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;RELEASE POINT;;;18C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;RELEASE POINT;;;18D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;RELEASE POINT;;;18E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;RELEASE POINT;;;18F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
19;RELEASE POINT COUNTRY;;;19A;RELEASE POINT COUNTRY;;1026/30;2-2;O
20;CONTROL/CROSSING POINT;;;20A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O*
;CONTROL/CROSSING POINT;;;20B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;CONTROL/CROSSING POINT;;;20C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;CONTROL/CROSSING POINT;;;20D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;CONTROL/CROSSING POINT;;;20E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;CONTROL/CROSSING POINT;;;20F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
21;CONTROL/CROSSING POINT COUNTRY;;;21A;CONTROL CROSSING POINT COUNTRY;;1026/31;2-2;O*
22;REMARKS CONTROL OR CROSSING POINT;;;22A;REMARKS;;1357/28;1-68;O*
23;LONG/SHORT HALTS;;;23A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O*
;LONG/SHORT HALTS;;;23B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LONG/SHORT HALTS;;;23C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LONG/SHORT HALTS;;;23D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LONG/SHORT HALTS;;;23E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LONG/SHORT HALTS;;;23F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
24;HALT POINT COUNTRY;;;24A;HALT POINT COUNTRY;;1026/32;2-2;O*
25;DURATION OF LONG/SHORT HALTS;;;25A;DURATION OF LONG/SHORT HALTS;DURATION;2593;5-5;O*
26;REMARKS HALT;;;26A;REMARKS;;1357/28;1-68;O*
