FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;MINE RESEEDING INDICATOR;;;1A;MINE RESEEDING INDICATOR;;1152/1;2-2;M
2;DELIVERY PLACEMENT ERROR;;;2A;DELIVERY PLACEMENT ERROR;;2206;3-7;O
3;GEODETIC DATUM;;;3A;GEODETIC DATUM;;1195/1;3-6;O
4;INTENDED DELIVERY POSITION;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-35;O
;INTENDED DELIVERY POSITION;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;INTENDED DELIVERY POSITION;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;INTENDED DELIVERY POSITION;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;INTENDED DELIVERY POSITION;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;INTENDED DELIVERY POSITION;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;INTENDED DELIVERY POSITION;;;4G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
;INTENDED DELIVERY POSITION;;;4H;INTENDED DELIVERY POSITION, PLACE NAME;NAME;1022/189;;
;INTENDED DELIVERY POSITION;;;4I;TRUE BEARING AND DISTANCE FROM REF POINT;TBR;2047;;
;INTENDED DELIVERY POSITION;;;4J;Q-ROUTE POSITION;QPOS;2203;;
5;ACTUAL DELIVERY POSITION;;;5A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-35;O
;ACTUAL DELIVERY POSITION;;;5B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;ACTUAL DELIVERY POSITION;;;5C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;ACTUAL DELIVERY POSITION;;;5D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;ACTUAL DELIVERY POSITION;;;5E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;ACTUAL DELIVERY POSITION;;;5F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;ACTUAL DELIVERY POSITION;;;5G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
;ACTUAL DELIVERY POSITION;;;5H;ACTUAL DELIVERY POSITION, PLACE NAME;NAME;1022/202;;
;ACTUAL DELIVERY POSITION;;;5I;TRUE BEARING AND DISTANCE FROM REF POINT;TBR;2047;;
;ACTUAL DELIVERY POSITION;;;5J;Q-ROUTE POSITION;QPOS;2203;;
6;DROP QUALITY;;;6A;DROP QUALITY;;1151/1;1-4;O*
